aX,aY,aZ,gX,gY,gZ
-9.8,-0.51,1.56,-0.42,-0.42,-0.56
-9.77,-0.65,1.5,-0.35,-0.35,-0.56
-9.8,-0.51,1.56,-0.42,-0.42,-0.56
-9.77,-0.65,1.5,-0.35,-0.35,-0.21
-9.75,-0.66,1.5,1.12,1.12,1.12
-9.74,-0.57,1.54,1.33,1.33,1.33
-9.68,-0.46,1.56,0.35,-0.42,-0.42
-9.66,-0.5,1.56,-1.19,-1.47,-1.47
-9.62,-0.73,1.5,-1.05,-1.05,-1.05
-9.64,-0.79,1.48,0.42,0.56,0.56
-9.64,-0.74,1.52,0.98,0.98,0.98
-9.67,-0.67,1.54,0.77,0.77,0.63
-9.6,-0.63,1.51,0.56,0.56,0.56
-9.52,-0.63,1.48,0.56,0.56,0.56
-9.56,-0.64,1.48,0.7,0.7,0.63
-9.65,-0.72,1.5,0.77,0.77,0.77
-9.71,-0.74,1.5,0.98,0.98,0.98
-9.65,-0.69,1.45,1.12,1.12,1.12
-9.69,-0.7,1.44,1.12,1.12,1.12
-9.7,-0.61,1.46,0.84,0.84,0.84
-9.77,-0.59,1.54,0.21,0.07,0.07
-9.73,-0.6,1.49,-0.14,-0.07,-0.07
-9.68,-0.61,1.47,0.07,0.07,0.07
-9.69,-0.63,1.45,0.28,0.28,0.42
-9.86,-0.67,1.51,0.98,0.98,0.98
-9.92,-0.7,1.45,1.54,1.54,1.47
-9.97,-0.63,1.49,1.61,1.61,1.61
-9.98,-0.52,1.51,1.26,1.26,1.26
-9.96,-0.45,1.56,0.21,0,0
-9.95,-0.49,1.51,-1.19,-1.19,-1.33
-9.91,-0.57,1.51,-1.47,-1.47,-1.47
-9.9,-0.62,1.51,-1.54,-1.54,-1.54
-9.93,-0.72,1.53,-1.12,-1.12,-1.12
-9.9,-0.8,1.5,0,0.42,0.42
-9.77,-0.86,1.48,2.03,2.24,2.24
-9.65,-0.74,1.49,4.2,4.2,4.27
-9.53,-0.58,1.52,4.55,4.55,4.55
-9.43,-0.53,1.54,4.13,4.13,3.92
-9.43,-0.52,1.54,3.71,3.71,3.71
-9.48,-0.61,1.51,3.5,3.5,3.5
-9.51,-0.61,1.47,3.15,3.15,3.15
-9.54,-0.59,1.45,2.73,2.73,2.73
-9.62,-0.65,1.43,3.08,3.08,3.08
-9.72,-0.72,1.41,4.13,4.13,4.13
-9.77,-0.69,1.38,5.81,5.81,5.81
-9.8,-0.58,1.37,5.95,5.95,5.95
-9.71,-0.47,1.35,5.04,4.97,4.97
-9.66,-0.4,1.35,4.13,3.64,3.64
-9.66,-0.32,1.39,2.45,1.68,1.68
-9.75,-0.31,1.38,0.21,-0.07,-0.63
-9.8,-0.43,1.39,-1.61,-1.68,-1.68
-9.79,-0.61,1.37,-2.31,-2.17,-2.17
-9.76,-0.57,1.37,-2.1,-2.03,-2.03
-9.76,-0.58,1.37,-2.17,-2.17,-2.03
-9.78,-0.65,1.36,-1.68,-1.54,-1.54
-9.86,-0.76,1.43,0.28,0.28,0.49
-9.84,-0.64,1.51,1.4,1.4,1.4
-9.79,-0.49,1.53,0.84,0.84,0.84
-9.77,-0.49,1.51,0.14,0.14,0.14
-9.79,-0.56,1.5,0.14,0.21,0.21
-9.76,-0.49,1.48,0.42,0.63,0.63
-9.78,-0.44,1.47,0.28,0.28,0.28
-9.82,-0.49,1.46,0.14,0.14,0.14
-9.77,-0.59,1.43,1.12,1.12,1.12
-9.81,-0.56,1.43,1.61,1.75,1.75
-9.82,-0.54,1.42,1.89,1.89,1.96
-9.83,-0.52,1.44,1.61,1.61,1.61
-9.72,-0.45,1.45,1.05,0.98,0.98
-9.74,-0.44,1.39,0.07,0.07,0.07
-9.8,-0.56,1.38,0.14,0.14,0.35
-9.98,-0.74,1.38,0.91,0.91,0.84
-10.12,-0.78,1.44,2.59,2.59,2.59
-10.19,-0.67,1.47,3.71,3.71,4.13
-10.16,-0.53,1.48,4.55,4.55,4.62
-10.01,-0.32,1.48,4.69,4.69,4.69
-9.95,-0.12,1.48,3.99,3.99,3.99
-10.1,-0.12,1.45,3.01,3.01,3.01
-10.31,-0.22,1.45,3.01,3.15,3.36
-10.72,-0.36,1.48,4.34,4.34,4.34
-11.22,-0.55,1.48,7.28,7.7,7.7
-11.67,-0.54,1.51,10.43,10.92,10.92
-11.43,0.94,1.47,12.67,12.46,12.46
-11.4,1.32,1.4,11.2,10.43,10.43
-11.61,1.21,1.34,9.66,9.66,9.66
-11.59,1.11,1.33,11.69,11.69,11.69
-11.31,1.38,1.31,12.18,11.83,11.83
-10.97,1.7,1.3,10.57,10.22,9.52
-10.78,1.61,1.29,7.56,7.35,7.35
-10.61,1.36,1.25,8.05,8.4,8.4
-10.49,1.23,1.24,10.36,11.55,11.55
-10.3,1.37,1.33,13.02,13.44,13.44
-9.67,1.91,1.41,14.84,14.91,14.84
-9.25,2.36,1.38,14.42,14.21,14.21
-9.02,2.66,1.39,12.95,12.39,12.39
-8.72,2.95,1.4,11.13,11.13,11.13
-8.48,3.36,1.35,9.31,9.1,9.1
-8.29,3.55,1.28,8.12,8.12,8.12
