aX,aY,aZ,gX,gY,gZ
-2.7,-9.72,-0.71,-12.81,-12.74,-12.74
-2.46,-10.1,-0.56,-6.23,-5.74,-5.74
-2.58,-9.83,-0.48,-3.64,-2.59,-2.59
-2.73,-9.52,-0.52,-1.33,-0.98,-0.63
-3,-9.5,-0.7,0.63,0.84,0.84
-3.23,-9.3,-0.77,1.61,1.75,1.75
-3.41,-8.94,-0.8,2.17,2.17,2.17
-3.77,-9.23,-1,1.4,1.26,1.26
-3.84,-8.95,-0.96,0.07,0.07,0
-3.75,-8.86,-1,-0.7,-0.7,-0.91
-3.69,-8.97,-1.06,-2.24,-2.59,-2.59
-3.61,-9.27,-1.11,-3.57,-3.57,-3.78
-3.33,-9.19,-1.07,-4.34,-4.34,-4.34
-3.08,-9.17,-1.06,-5.39,-5.39,-5.39
-2.96,-9.48,-1.21,-5.67,-5.74,-5.74
-2.64,-9.28,-1.18,-6.09,-6.09,-6.3
-2.29,-9.08,-1.04,-7.49,-7.49,-7.91
-2.06,-9.19,-1.01,-9.52,-9.52,-9.52
-2.04,-9.54,-1,-9.59,-9.59,-9.59
-2.12,-9.59,-0.93,-8.54,-8.05,-8.05
-2.36,-9.68,-0.9,-6.3,-6.3,-6.09
-2.61,-9.77,-0.84,-3.43,-3.43,-3.43
-2.8,-9.78,-0.84,-0.35,-0.35,-0.35
-3.04,-9.71,-0.83,2.38,2.38,2.38
-3.2,-9.58,-0.79,5.74,6.16,6.16
-3.25,-9.54,-0.82,11.83,11.83,11.97
-2.95,-9.34,-0.7,13.51,13.51,13.44
-2.76,-9.2,-0.75,12.18,12.18,12.18
-2.71,-9.26,-0.81,11.13,10.64,10.64
-2.75,-9.34,-0.92,9.73,9.59,9.59
-3.06,-9.33,-1.12,6.72,6.3,6.02
-3.25,-9.16,-1.15,3.5,3.5,3.15
-3.28,-8.88,-1.17,1.26,0.49,0.07
-3.37,-8.82,-1.28,-2.31,-2.31,-3.78
-3.55,-9.04,-1.4,-5.88,-5.88,-6.65
-3.53,-8.96,-1.42,-8.75,-8.75,-8.75
-3.44,-8.89,-1.36,-11.55,-11.55,-11.55
-3.38,-9.14,-1.36,-12.95,-12.95,-12.95
-3.24,-9.21,-1.31,-13.37,-13.37,-13.37
-3.06,-9.33,-1.22,-13.09,-13.09,-13.09
-2.88,-9.35,-1.13,-12.53,-12.53,-12.53
-2.73,-9.41,-1.07,-11.69,-11.69,-11.48
-2.61,-9.47,-1.04,-10.71,-10.29,-10.01
-2.63,-9.53,-0.95,-8.33,-7.84,-7.35
-2.78,-9.6,-0.95,-5.04,-5.04,-5.04
-2.82,-9.39,-0.88,-2.87,-2.73,-2.73
-2.87,-9.29,-0.84,-2.38,-2.38,-2.38
-2.97,-9.24,-0.88,-2.59,-2.66,-2.66
-3.1,-9.27,-0.85,-2.66,-2.59,-2.59
-3.26,-9.49,-0.93,-2.52,-2.38,-2.38
-3.39,-9.57,-0.98,-1.82,-1.82,-1.82
-3.28,-9.44,-0.92,-1.19,-1.19,-1.12
-3.14,-9.5,-0.94,-0.84,-0.84,-0.77
-3,-9.62,-0.94,0.35,0.35,0.56
-2.92,-9.54,-0.96,1.75,2.24,2.38
-2.87,-9.31,-0.94,3.36,3.36,3.78
-2.95,-9.25,-1.01,4.55,4.55,4.55
-3.08,-9.27,-1.12,6.02,6.02,6.3
-3.27,-9.34,-1.14,7.21,7.49,7.49
-3.41,-9.53,-1.28,9.94,9.94,10.22
-3.51,-9.51,-1.21,11.27,11.69,11.83
-3.49,-9.01,-1.03,12.11,12.11,12.11
-3.6,-8.82,-0.92,10.57,10.57,10.57
-3.76,-8.73,-0.86,7.07,7.07,7.07
-3.76,-8.66,-0.91,4.27,3.71,3.71
-3.71,-8.92,-1.01,1.19,1.19,1.19
-3.62,-9.27,-1.23,-0.56,-0.56,-0.56
-3.57,-9.52,-1.39,-1.4,-1.4,-1.4
-3.45,-9.53,-1.37,-1.61,-1.61,-1.61
-3.3,-9.36,-1.39,-1.96,-1.96,-2.1
-3.12,-9.16,-1.26,-3.71,-3.71,-3.71
-2.89,-9.17,-1.32,-4.9,-5.32,-5.32
-2.77,-9.23,-1.34,-6.93,-7.14,-7.14
-2.75,-9.11,-1.31,-9.73,-9.73,-10.08
-2.81,-9.15,-1.32,-12.04,-12.04,-12.25
-2.86,-9.05,-1.3,-12.53,-12.53,-12.46
-2.91,-9.04,-1.27,-10.57,-10.57,-10.57
-3.13,-9.21,-1.35,-6.37,-6.37,-6.37
-3.31,-9.41,-1.48,-0.35,0.49,0.49
-3.43,-9.38,-1.52,6.23,6.23,6.65
-3.67,-9.31,-1.56,8.75,8.75,8.89
-3.84,-9.21,-1.48,9.73,9.73,9.87
-4.02,-9.13,-1.33,10.36,10.36,10.36
-4.05,-9.09,-1.17,10.5,10.5,10.5
-4.05,-9.09,-1.03,10.64,10.64,10.64
-3.97,-8.99,-0.95,10.43,10.43,10.36
-3.9,-8.85,-0.95,9.87,9.87,9.87
-3.85,-8.78,-1.01,9.38,9.38,9.38
-3.85,-8.97,-1.14,9.66,9.66,9.66
-3.8,-9.03,-1.23,10.43,10.43,10.43
-3.77,-8.81,-1.2,10.43,10.15,10.15
-3.65,-8.54,-1.1,8.82,8.82,8.05
-3.54,-8.3,-0.99,4.41,4.41,4.41
-3.51,-8.3,-0.89,-1.4,-2.1,-2.1
-3.6,-8.39,-0.87,-6.09,-8.68,-8.68
-3.69,-8.56,-0.89,-13.37,-15.4,-15.4
-3.91,-8.91,-0.94,-23.24,-24.08,-24.08
-4.09,-9.35,-1.03,-28,-28,-28.49
-4.19,-9.65,-1.16,-29.19,-29.19,-28.84
-4.18,-9.57,-1.17,-26.39,-26.39,-26.39
-4.08,-9.27,-1.16,-21.91,-21.91,-21.91
-4,-9.09,-1.22,-14.21,-14.21,-14.21
-3.97,-9.04,-1.34,-8.82,-7.21,-7.21
-3.9,-9.09,-1.5,-3.36,-2.31,-2.31
-3.99,-9.56,-1.84,0.07,0.07,0.28
-4.03,-9.7,-1.71,2.45,2.45,2.45
-3.97,-9.55,-1.53,3.85,4.2,4.2
-3.87,-9.38,-1.27,4.97,4.97,4.97
-3.85,-9.25,-1.09,5.25,5.25,5.39
-3.83,-9.09,-1,5.88,6.16,6.3
-3.82,-9.01,-1.02,7.21,7.21,7.21
-3.79,-8.96,-1.01,9.45,9.73,9.73
-3.66,-9.35,-1.18,18.9,18.9,18.9
-3.73,-9.49,-1.32,28,28,28
-3.94,-9.53,-1.39,32.9,32.9,32.9
-4.08,-9.57,-1.49,35.84,36.12,36.33
-4.1,-9.37,-1.47,36.47,36.4,36.4
-3.91,-9.26,-1.37,34.58,34.3,34.3
-3.74,-9.34,-1.41,32.48,32.48,32.48
-3.67,-9.45,-1.51,32.06,32.34,32.34
-3.53,-8.97,-1.42,36.61,36.61,36.75
-3.39,-8.62,-1.3,35.07,35.07,34.65
-3.24,-8.49,-1.23,30.73,30.73,30.24
-3.04,-8.5,-1.28,25.69,25.69,25.69
-2.98,-8.77,-1.35,21.56,21.56,21.56
