aX,aY,aZ,gX,gY,gZ
-9.83,0.50,1.40,7.91,7.42,7.42
-9.91,0.63,1.38,-0.84,-0.84,-0.91
-10.11,0.61,1.40,-0.98,-0.98,-0.91
-10.03,0.51,1.51,-0.21,-0.21,-0.21
-9.92,0.84,1.63,-0.35,-0.56,-0.56
-9.70,0.93,1.51,-1.89,-1.89,-2.03
-9.63,0.87,1.41,-2.66,-2.66,-2.80
-9.82,0.71,1.57,-2.59,-2.52,-2.52
-9.69,0.60,1.74,-1.05,-1.05,-1.05
-9.47,0.67,1.78,0.21,0.07,0.07
-9.28,0.88,1.85,-0.49,-0.49,-0.49
-9.37,0.70,1.92,-0.42,-0.42,-0.42
-9.62,0.44,1.97,1.40,1.82,1.82
-9.46,0.32,2.10,5.67,5.67,5.67
-9.51,0.34,2.14,8.47,8.47,8.47
-9.69,0.51,2.12,9.73,9.80,9.80
-9.71,0.57,2.11,11.13,11.13,11.13
-9.80,0.56,2.26,12.11,12.11,12.11
-9.63,0.64,2.38,12.53,12.60,12.60
-9.24,0.78,2.48,12.32,12.32,12.32
-9.18,0.97,2.52,9.10,9.10,9.10
-9.17,1.03,2.52,6.65,6.30,6.30
-9.19,0.93,2.57,3.78,3.29,3.01
-9.21,0.81,2.73,2.38,2.38,1.82
-9.22,0.88,2.75,0.35,0.35,0.35
-9.16,0.85,2.80,-2.38,-2.38,-2.38
-9.69,0.71,2.85,-3.43,-3.43,-3.36
-9.75,0.28,2.93,-2.17,-2.17,-1.26
-9.69,0.17,2.86,1.68,1.68,1.68
-9.90,0.02,2.68,3.78,3.78,3.78
-10.24,0.38,2.66,4.97,4.97,4.97
-10.08,0.72,2.64,6.16,6.23,6.23
-10.02,0.89,2.64,5.67,5.67,5.46
-9.41,1.45,2.70,3.01,2.66,2.66
-8.91,1.92,2.49,-2.45,-2.45,-2.45
-8.81,1.89,2.30,-10.01,-10.64,-10.64
-8.93,1.62,2.34,-13.93,-15.26,-15.26
-9.15,1.48,2.27,-16.94,-17.57,-17.57
-9.31,1.28,2.14,-17.71,-17.78,-17.78
-9.49,1.17,2.12,-17.43,-17.29,-16.87
-9.52,1.06,2.18,-15.26,-15.26,-15.12
-9.68,0.91,2.14,-13.02,-13.02,-13.02
-9.68,0.77,2.25,-10.29,-10.29,-10.29
-9.64,0.79,2.13,-8.40,-7.77,-7.77
-9.71,0.95,1.89,-6.37,-6.37,-6.23
-9.57,1.05,1.89,-5.32,-5.32,-5.32
-9.33,0.91,2.08,-3.64,-3.64,-3.64
-8.91,1.07,2.23,-1.19,-1.19,-1.05
-8.62,1.18,2.35,0.00,0.00,0.07
-8.50,1.00,2.51,1.26,1.26,1.26
-8.85,0.94,2.57,3.64,3.99,3.99
-9.12,1.02,2.56,4.55,4.83,4.83
-9.29,1.11,2.56,5.25,5.32,5.60
-9.55,1.07,2.47,7.07,7.49,8.26
-9.52,1.20,2.28,11.20,11.20,11.62
-9.54,1.31,2.16,13.72,13.72,14.00
-9.61,1.32,2.08,15.75,15.75,15.75
-9.62,1.34,2.10,17.22,17.50,17.50
-9.63,1.52,2.19,18.34,18.34,18.48
-9.56,1.52,2.29,19.81,19.81,19.81
-9.52,1.46,2.26,21.42,21.42,21.42
-9.52,1.40,2.20,23.38,23.38,23.38
-9.54,1.64,2.08,21.35,21.35,21.35
-9.33,1.76,1.96,17.08,17.08,17.08
