aX,aY,aZ,gX,gY,gZ
-2.70,-9.72,-0.71,-12.81,-12.74,-12.74
-2.46,-10.10,-0.56,-6.23,-5.74,-5.74
-2.58,-9.83,-0.48,-3.64,-2.59,-2.59
-2.73,-9.52,-0.52,-1.33,-0.98,-0.63
-3.00,-9.50,-0.70,0.63,0.84,0.84
-3.23,-9.30,-0.77,1.61,1.75,1.75
-3.41,-8.94,-0.80,2.17,2.17,2.17
-3.77,-9.23,-1.00,1.40,1.26,1.26
-3.84,-8.95,-0.96,0.07,0.07,0.00
-3.75,-8.86,-1.00,-0.70,-0.70,-0.91
-3.69,-8.97,-1.06,-2.24,-2.59,-2.59
-3.61,-9.27,-1.11,-3.57,-3.57,-3.78
-3.33,-9.19,-1.07,-4.34,-4.34,-4.34
-3.08,-9.17,-1.06,-5.39,-5.39,-5.39
-2.96,-9.48,-1.21,-5.67,-5.74,-5.74
-2.64,-9.28,-1.18,-6.09,-6.09,-6.30
-2.29,-9.08,-1.04,-7.49,-7.49,-7.91
-2.06,-9.19,-1.01,-9.52,-9.52,-9.52
-2.04,-9.54,-1.00,-9.59,-9.59,-9.59
-2.12,-9.59,-0.93,-8.54,-8.05,-8.05
-2.36,-9.68,-0.90,-6.30,-6.30,-6.09
-2.61,-9.77,-0.84,-3.43,-3.43,-3.43
-2.80,-9.78,-0.84,-0.35,-0.35,-0.35
-3.04,-9.71,-0.83,2.38,2.38,2.38
-3.20,-9.58,-0.79,5.74,6.16,6.16
-3.25,-9.54,-0.82,11.83,11.83,11.97
-2.95,-9.34,-0.70,13.51,13.51,13.44
-2.76,-9.20,-0.75,12.18,12.18,12.18
-2.71,-9.26,-0.81,11.13,10.64,10.64
-2.75,-9.34,-0.92,9.73,9.59,9.59
-3.06,-9.33,-1.12,6.72,6.30,6.02
-3.25,-9.16,-1.15,3.50,3.50,3.15
-3.28,-8.88,-1.17,1.26,0.49,0.07
-3.37,-8.82,-1.28,-2.31,-2.31,-3.78
-3.55,-9.04,-1.40,-5.88,-5.88,-6.65
-3.53,-8.96,-1.42,-8.75,-8.75,-8.75
-3.44,-8.89,-1.36,-11.55,-11.55,-11.55
-3.38,-9.14,-1.36,-12.95,-12.95,-12.95
-3.24,-9.21,-1.31,-13.37,-13.37,-13.37
-3.06,-9.33,-1.22,-13.09,-13.09,-13.09
-2.88,-9.35,-1.13,-12.53,-12.53,-12.53
-2.73,-9.41,-1.07,-11.69,-11.69,-11.48
-2.61,-9.47,-1.04,-10.71,-10.29,-10.01
-2.63,-9.53,-0.95,-8.33,-7.84,-7.35
-2.78,-9.60,-0.95,-5.04,-5.04,-5.04
-2.82,-9.39,-0.88,-2.87,-2.73,-2.73
-2.87,-9.29,-0.84,-2.38,-2.38,-2.38
-2.97,-9.24,-0.88,-2.59,-2.66,-2.66
-3.10,-9.27,-0.85,-2.66,-2.59,-2.59
-3.26,-9.49,-0.93,-2.52,-2.38,-2.38
-3.39,-9.57,-0.98,-1.82,-1.82,-1.82
-3.28,-9.44,-0.92,-1.19,-1.19,-1.12
-3.14,-9.50,-0.94,-0.84,-0.84,-0.77
-3.00,-9.62,-0.94,0.35,0.35,0.56
-2.92,-9.54,-0.96,1.75,2.24,2.38
-2.87,-9.31,-0.94,3.36,3.36,3.78
-2.95,-9.25,-1.01,4.55,4.55,4.55
-3.08,-9.27,-1.12,6.02,6.02,6.30
-3.27,-9.34,-1.14,7.21,7.49,7.49
-3.41,-9.53,-1.28,9.94,9.94,10.22
-3.51,-9.51,-1.21,11.27,11.69,11.83
-3.49,-9.01,-1.03,12.11,12.11,12.11
-3.60,-8.82,-0.92,10.57,10.57,10.57
-3.76,-8.73,-0.86,7.07,7.07,7.07
