aX,aY,aZ,gX,gY,gZ
-9.61,0.91,2.00,0.28,0.28,0.28
-9.65,0.90,1.97,-0.35,-0.35,-0.35
-9.66,0.87,1.96,-0.84,-0.84,-0.84
-9.60,0.88,1.99,-1.12,-1.12,-1.12
-9.60,0.83,2.00,-1.89,-1.89,-1.89
-9.59,0.84,2.00,-2.10,-2.10,-2.17
-9.58,0.81,2.00,-2.31,-2.31,-2.31
-9.54,0.78,2.00,-2.17,-2.24,-2.24
-9.57,0.76,1.96,-2.17,-2.17,-2.17
-9.62,0.73,1.95,-2.03,-2.03,-2.10
-9.58,0.71,1.97,-1.47,-1.47,-1.47
-9.52,0.72,1.99,-1.05,-0.98,-0.98
-9.51,0.73,2.01,-0.56,-0.49,-0.49
-9.49,0.73,2.00,-0.14,-0.07,-0.07
-9.55,0.70,2.00,0.21,0.42,0.42
-9.65,0.72,1.97,0.84,0.98,0.98
-9.64,0.74,1.99,1.68,1.82,1.82
-9.63,0.77,2.00,2.03,2.17,2.17
-9.59,0.79,2.02,2.31,2.31,2.31
-9.61,0.83,2.03,2.24,2.24,2.24
-9.62,0.88,2.03,1.75,1.75,1.68
-9.67,0.85,2.03,1.68,1.68,1.61
-9.69,0.84,1.99,1.61,1.61,1.61
-9.61,0.88,2.02,1.68,1.68,1.68
-9.51,0.93,2.01,1.33,1.33,1.12
-9.52,0.88,1.98,0.49,0.49,0.49
-9.57,0.85,1.97,-0.21,-0.21,-0.35
-9.68,0.80,1.96,-0.84,-0.84,-0.84
-9.70,0.78,1.95,-1.05,-1.05,-1.05
-9.63,0.77,1.95,-0.98,-0.98,-0.98
-9.55,0.76,1.99,-0.84,-0.84,-0.84
-9.48,0.77,2.01,-0.77,-0.77,-0.77
-9.47,0.78,2.02,-0.98,-0.77,-0.77
-9.57,0.73,1.99,-0.63,-0.63,-0.63
-9.62,0.75,1.99,-0.42,-0.28,-0.28
-9.63,0.75,1.99,0.21,0.21,0.21
-9.64,0.80,2.00,0.28,0.35,0.21
-9.60,0.87,2.02,0.14,0.14,0.14
-9.60,0.88,2.03,-0.21,-0.21,-0.35
-9.71,0.91,2.03,-0.98,-0.98,-0.98
-9.91,0.99,2.04,-0.42,-0.42,-0.42
-10.08,1.06,2.11,0.84,0.84,0.84
-10.20,1.23,2.24,3.15,3.15,3.15
-10.29,1.53,2.46,5.95,5.95,5.95
-10.35,1.98,2.67,10.22,10.22,10.22
-10.26,2.68,2.95,15.47,15.47,16.17
-10.32,3.37,3.24,20.37,20.37,21.07
-12.16,3.94,3.47,25.76,26.53,26.53
-11.77,4.36,3.75,36.89,36.89,36.89
-12.30,4.75,3.82,45.57,48.65,48.65
-12.64,5.67,3.96,58.66,59.85,59.85
-12.51,6.49,4.00,68.88,68.88,69.51
-12.21,7.33,3.98,72.73,72.73,72.73
-12.09,8.11,3.83,73.57,73.50,73.50
-12.37,8.82,3.64,71.89,70.49,70.49
-12.35,9.42,3.30,67.13,66.22,64.47
-12.44,10.13,2.87,56.14,54.81,54.81
-12.13,10.45,2.49,43.26,41.30,41.30
-10.67,10.73,2.07,7.70,7.70,5.39
-10.16,10.47,1.81,-13.65,-13.65,-13.65
-9.40,9.82,1.67,-24.78,-28.00,-28.00
-8.96,9.05,1.50,-36.26,-36.26,-38.50
-8.42,8.11,1.32,-45.22,-45.22,-45.22
-7.84,7.12,1.20,-46.97,-46.62,-46.62
-7.12,6.53,1.20,-42.14,-41.16,-41.16
-5.83,5.78,1.26,-34.09,-32.83,-32.83
-4.44,5.35,1.38,-22.12,-22.12,-20.93
-2.93,4.85,1.43,-15.82,-13.79,-12.67
-1.45,4.29,1.45,-7.42,-7.42,-4.41
0.10,3.59,1.47,2.94,2.94,2.94
1.09,2.96,1.41,12.11,12.11,12.11
2.11,2.29,1.36,17.29,17.29,17.29
2.82,1.53,1.23,20.58,21.00,21.70
3.59,0.77,1.19,22.26,22.40,22.54
4.64,-0.22,1.44,21.42,21.42,21.07
5.80,-0.82,2.06,16.66,16.66,16.66
8.12,-2.84,2.82,4.76,4.76,2.31
9.24,-4.00,3.01,-7.70,-7.70,-11.97
10.12,-5.17,3.00,-26.81,-26.81,-26.81
11.77,-6.31,3.14,-55.16,-55.16,-55.16
11.14,-6.44,2.60,-71.68,-71.68,-71.68
9.53,-5.77,2.24,-77.00,-77.28,-77.28
8.46,-4.56,1.73,-71.61,-71.61,-70.00
7.95,-2.87,1.57,-57.05,-57.05,-57.05
7.95,-1.45,1.54,-37.45,-35.35,-35.35
8.26,-0.18,1.67,-25.69,-20.72,-20.72
8.26,2.77,2.15,-8.89,-8.89,-8.89
7.68,3.60,2.23,-12.11,-13.16,-13.16
6.70,3.91,2.28,-16.73,-16.73,-17.92
4.31,4.38,2.26,-22.61,-22.61,-22.61
2.03,4.97,2.46,-28.70,-29.61,-29.61
-1.22,5.88,3.19,-37.24,-37.24,-37.17
-1.67,5.67,3.42,-36.40,-35.84,-35.56
-1.87,5.70,3.69,-34.65,-34.65,-34.72
-1.92,6.05,4.01,-37.73,-37.73,-37.73
-3.50,4.89,4.56,-51.31,-51.45,-51.45
-4.44,4.67,4.69,-53.55,-54.95,-54.95
-5.47,4.31,4.79,-56.77,-57.05,-57.26
-6.64,3.35,4.84,-55.65,-55.16,-55.16
