aX,aY,aZ,gX,gY,gZ
9.27,3.01,-2.16,43.54,43.82,43.82
10.01,3.43,-2.66,43.54,43.54,43.05
10.54,3.90,-3.14,40.53,40.18,40.18
10.62,4.09,-3.30,35.49,34.51,34.51
10.51,4.22,-3.34,26.25,26.25,25.06
10.27,4.16,-3.28,19.46,17.15,16.17
9.60,4.02,-3.13,8.61,8.61,8.61
9.36,3.91,-3.08,0.35,-0.28,-0.28
9.07,3.83,-3.01,-3.57,-5.18,-5.18
8.67,3.69,-2.79,-7.00,-7.63,-8.05
8.44,3.61,-2.70,-10.22,-10.22,-10.22
8.36,3.56,-2.66,-13.30,-13.30,-13.30
8.33,3.48,-2.67,-16.24,-16.66,-17.36
8.29,3.31,-2.58,-19.11,-19.32,-19.32
8.42,3.18,-2.61,-21.49,-21.70,-21.70
8.58,3.14,-2.63,-23.17,-23.24,-23.24
8.73,2.98,-2.63,-25.69,-25.69,-25.69
8.78,2.85,-2.67,-26.46,-26.46,-26.39
8.89,2.74,-2.75,-26.67,-26.67,-26.67
9.04,2.61,-2.78,-26.11,-26.11,-26.11
9.16,2.25,-2.84,-19.60,-18.90,-18.90
9.09,2.19,-2.78,-16.59,-16.59,-15.75
9.11,2.13,-2.79,-13.58,-13.16,-13.16
9.10,2.13,-2.79,-10.99,-10.36,-10.08
9.14,2.15,-2.76,-8.40,-8.40,-7.42
9.21,2.18,-2.83,-5.81,-5.81,-5.39
9.24,2.22,-2.82,-2.52,-2.52,-2.17
9.18,2.23,-2.76,0.35,0.35,0.35
9.04,2.26,-2.72,2.87,2.87,2.87
8.99,2.32,-2.69,5.25,5.25,5.25
8.92,2.36,-2.64,7.49,7.49,7.49
8.90,2.40,-2.63,8.47,8.82,8.82
8.90,2.46,-2.62,9.73,9.73,9.73
8.89,2.53,-2.61,10.50,10.50,10.50
8.93,2.58,-2.61,10.29,10.29,10.29
8.96,2.67,-2.58,9.87,9.87,9.87
9.12,2.80,-2.64,8.54,8.54,8.54
9.25,2.85,-2.62,7.14,7.14,7.14
9.10,2.83,-2.49,5.67,5.67,5.67
9.05,2.84,-2.45,4.69,4.06,4.06
9.15,2.85,-2.46,3.08,2.87,2.45
9.12,2.87,-2.35,0.63,0.49,0.49
9.09,2.85,-2.28,-1.75,-1.75,-1.96
9.07,2.87,-2.24,-3.15,-3.71,-3.92
9.07,2.91,-2.23,-5.25,-5.25,-5.53
9.06,2.89,-2.17,-7.00,-7.00,-7.00
9.03,2.86,-2.11,-7.84,-8.05,-8.05
