aX,aY,aZ,gX,gY,gZ
-1.68,0.56,-9.55,1.19,1.19,1.12
-1.63,0.51,-9.62,0.98,0.98,0.98
-1.57,0.50,-9.68,1.26,1.26,1.40
-1.62,0.51,-9.70,1.75,1.75,1.75
-1.64,0.50,-9.69,2.38,2.52,2.52
-1.72,0.53,-9.73,2.73,2.87,2.87
-1.84,0.59,-9.73,2.80,2.80,2.80
-1.93,0.64,-9.79,2.38,2.38,2.52
-2.00,0.66,-9.82,2.03,2.03,1.96
-2.00,0.67,-9.82,1.33,1.33,1.12
-1.94,0.67,-9.81,-0.28,-0.28,-0.28
-1.87,0.66,-9.83,-1.47,-1.47,-1.47
-1.80,0.64,-9.82,-3.01,-3.36,-3.36
-1.76,0.61,-9.81,-4.13,-4.13,-4.27
-1.73,0.60,-9.79,-5.18,-5.18,-5.18
-1.66,0.66,-9.71,-6.23,-6.30,-6.30
-1.67,0.66,-9.57,-7.98,-7.98,-8.05
-1.68,0.68,-9.43,-8.96,-9.17,-9.17
-1.71,0.67,-9.34,-9.94,-10.15,-10.15
-1.68,0.57,-9.27,-9.87,-9.87,-9.73
-1.70,0.51,-9.24,-8.47,-8.47,-8.47
-1.68,0.43,-9.26,-5.88,-5.88,-5.88
-1.61,0.31,-9.36,-1.26,-1.26,-1.26
-1.58,0.26,-9.43,2.38,2.38,2.38
-1.61,0.33,-9.51,5.81,6.58,7.07
-1.78,0.44,-9.53,8.75,8.75,9.52
-1.90,0.60,-9.51,10.36,10.36,10.43
-2.01,0.70,-9.56,10.29,10.29,10.29
-2.07,0.79,-9.71,8.54,8.54,8.54
-2.19,0.85,-9.91,6.37,6.37,6.37
-2.28,0.97,-10.09,2.94,2.59,2.59
-2.45,1.05,-10.16,-0.42,-0.42,-0.98
-2.68,1.14,-10.38,-6.58,-6.58,-6.58
-2.93,1.32,-10.53,-10.78,-12.25,-12.25
-3.20,1.52,-10.79,-16.87,-16.87,-18.34
-3.33,1.57,-11.12,-22.26,-22.26,-23.10
-3.55,1.54,-11.49,-25.34,-25.34,-25.34
-3.77,1.58,-11.83,-26.39,-26.53,-26.53
-4.06,1.86,-12.00,-27.65,-27.86,-27.86
-4.24,2.06,-12.01,-30.66,-31.15,-31.15
-4.34,2.30,-11.92,-35.00,-35.70,-35.70
-4.35,2.46,-11.76,-42.00,-42.00,-42.84
-4.42,2.59,-11.44,-51.31,-51.31,-51.31
-4.45,2.64,-11.22,-57.75,-59.99,-59.99
-4.49,2.73,-10.99,-66.64,-66.64,-68.95
-4.37,2.72,-10.66,-77.07,-77.07,-77.07
-4.29,2.57,-10.27,-82.18,-82.39,-82.39
-4.18,2.45,-10.10,-82.39,-81.69,-81.69
-4.03,2.22,-9.80,-79.52,-77.77,-77.77
-4.06,2.10,-9.53,-74.20,-73.29,-71.75
-4.19,2.21,-9.18,-67.06,-66.22,-66.22
-4.48,2.66,-8.60,-57.54,-57.54,-56.70
-4.89,3.00,-8.31,-53.13,-53.13,-53.13
-5.32,3.48,-7.94,-51.10,-51.10,-51.10
-5.73,3.90,-7.70,-52.64,-53.41,-53.41
-6.11,4.13,-7.46,-56.70,-56.70,-58.03
-6.23,4.37,-7.21,-61.95,-62.65,-62.65
-6.30,4.60,-6.94,-68.39,-68.39,-68.88
-6.36,4.58,-6.86,-72.24,-72.24,-72.59
-6.42,4.71,-6.67,-74.48,-74.48,-74.69
-6.40,4.68,-6.02,-77.42,-77.42,-77.42
-6.35,4.46,-5.51,-78.40,-78.68,-78.68
-6.21,4.14,-5.06,-77.70,-77.49,-77.49
-6.11,4.01,-4.37,-74.27,-74.27,-73.71
-6.06,3.94,-3.87,-71.19,-71.19,-69.65
-5.76,3.72,-3.16,-64.12,-64.12,-64.12
-5.46,3.62,-2.53,-53.69,-53.69,-53.69
-5.38,3.67,-2.11,-47.39,-45.50,-45.50
-6.28,4.62,-0.55,-31.22,-31.22,-31.22
-6.11,4.65,-0.17,-30.80,-30.80,-30.80
-6.05,4.71,-0.07,-31.01,-31.43,-31.43
-5.80,4.72,0.44,-34.23,-34.65,-34.65
-5.36,4.58,0.86,-36.82,-36.82,-36.75
-5.28,4.54,1.18,-35.21,-35.21,-34.72
-5.55,4.73,1.63,-31.57,-31.57,-30.59
