aX,aY,aZ,gX,gY,gZ
5.86,2.49,4.91,-57.40,-57.40,-56.00
6.01,2.61,5.37,-43.89,-43.89,-42.70
5.91,2.77,5.60,-37.45,-37.45,-36.47
5.97,3.01,5.84,-29.47,-29.47,-29.47
5.25,2.95,6.12,-17.15,-17.15,-17.15
4.47,2.88,6.33,-11.76,-11.76,-11.76
4.03,2.97,6.71,-5.25,-5.25,-5.25
4.05,3.21,6.85,-2.66,-2.24,-2.24
4.34,3.42,7.03,-1.89,-2.24,-2.24
4.39,3.62,7.12,-3.15,-3.50,-3.50
4.02,3.62,7.32,-4.48,-4.48,-4.48
3.46,3.49,7.56,-5.67,-5.67,-5.67
3.10,3.44,7.67,-7.00,-7.00,-7.00
2.73,3.33,7.69,-8.05,-8.05,-8.05
2.65,3.24,7.74,-9.10,-9.03,-9.03
2.67,3.33,7.75,-10.99,-11.34,-11.34
2.65,3.33,7.75,-13.72,-14.00,-14.00
2.58,3.12,7.50,-16.10,-16.10,-16.24
2.20,2.69,7.12,-15.82,-15.82,-15.82
1.69,2.31,6.70,-12.74,-12.74,-12.74
1.47,2.20,6.38,-6.58,-6.58,-6.58
1.61,2.46,6.20,-4.48,-4.48,-4.48
2.29,2.64,6.12,-3.64,-3.22,-3.22
3.02,2.52,6.11,-1.82,-0.35,-0.35
3.57,2.58,6.30,3.78,3.78,3.78
4.00,2.82,6.59,5.88,6.30,6.30
4.04,2.86,6.61,7.14,7.21,7.56
5.00,3.04,6.79,8.82,8.89,8.89
5.53,2.92,6.68,10.99,10.99,10.99
5.70,2.82,6.57,13.44,14.21,14.21
6.03,2.77,6.47,16.17,16.38,16.38
6.02,2.74,6.02,18.69,18.69,18.69
6.40,2.92,5.72,17.57,17.57,17.57
6.74,3.07,5.75,15.19,15.19,15.19
6.72,2.90,5.76,14.42,14.42,14.42
7.19,3.14,5.70,13.44,12.67,12.67
7.40,3.20,5.57,10.29,9.45,9.45
7.94,3.24,5.58,7.70,7.70,7.28
7.99,3.10,5.36,7.14,7.14,7.00
8.26,3.32,5.26,6.09,6.09,6.09
8.44,3.45,4.93,3.36,3.01,3.01
9.06,3.53,4.82,0.77,0.77,0.35
9.49,3.46,4.00,-3.99,-4.62,-4.62
9.78,3.37,3.68,-7.35,-7.35,-7.70
9.71,3.15,3.19,-9.10,-9.10,-9.10
9.12,2.64,2.94,-6.51,-6.51,-6.51
