aX,aY,aZ,gX,gY,gZ
-9.81,1.45,1.56,3.01,3.01,3.15
-9.76,1.56,1.57,2.87,2.87,2.73
-9.67,1.62,1.54,2.10,2.10,2.10
-9.66,1.56,1.49,0.91,0.91,0.91
-9.71,1.43,1.47,0.91,0.91,0.91
-9.75,1.32,1.47,2.38,2.38,2.38
-9.69,1.39,1.40,3.22,3.22,3.22
-9.56,1.63,1.36,2.66,2.45,2.45
-9.56,1.71,1.35,1.19,0.56,0.56
-9.64,1.63,1.34,-0.28,-0.28,-0.56
-9.77,1.55,1.40,-0.91,-0.84,-1.05
-9.79,1.53,1.40,-0.98,-0.84,-0.84
-9.68,1.53,1.39,-1.05,-0.98,-0.98
-9.60,1.49,1.40,-0.56,-0.56,-0.56
-9.63,1.36,1.43,1.33,1.33,1.33
-9.53,1.56,1.48,1.61,1.47,1.47
-9.50,1.70,1.47,-0.70,-0.91,-0.91
-9.49,1.64,1.52,-2.31,-2.38,-2.38
-9.59,1.49,1.56,-2.94,-2.94,-2.94
-9.76,1.35,1.51,-2.45,-2.45,-2.45
-9.83,1.25,1.43,-0.63,-0.63,-0.63
-9.79,1.33,1.42,0.35,0.35,0.49
-9.64,1.44,1.47,0.70,0.70,0.70
-9.50,1.57,1.51,0.21,-0.28,-0.28
-9.46,1.71,1.52,-1.89,-1.89,-1.89
-9.53,1.51,1.45,-3.64,-3.64,-3.64
-9.71,1.29,1.46,-1.89,-1.89,-1.89
-9.85,1.24,1.49,0.63,0.63,0.63
-9.84,1.30,1.48,2.73,2.73,2.73
-9.68,1.59,1.46,3.64,3.43,3.43
-9.62,1.82,1.48,2.38,2.38,2.10
-9.71,1.72,1.40,1.47,1.47,1.47
-9.91,1.63,1.39,1.82,1.82,1.82
-9.99,1.62,1.39,2.24,2.24,2.24
-10.00,1.71,1.34,2.17,2.17,2.17
-9.96,1.82,1.37,2.10,1.96,1.96
-10.11,1.87,1.36,1.26,1.26,1.26
-10.23,1.81,1.34,1.68,1.68,1.68
-10.27,1.81,1.30,3.29,3.29,3.29
-10.30,1.99,1.24,4.41,4.41,4.41
-10.41,2.19,1.21,4.27,4.27,4.27
-10.63,2.29,1.15,4.41,4.41,4.41
-10.70,2.40,1.08,5.53,5.60,5.60
-10.65,2.81,1.03,5.32,5.18,5.18
-10.70,2.96,1.00,3.01,2.94,2.94
-10.84,2.83,0.90,2.94,3.15,3.15
-10.79,2.82,0.84,4.41,4.62,4.62
-10.53,3.04,0.80,5.25,5.25,5.25
-10.25,3.36,0.76,3.64,3.43,3.43
-9.92,3.55,0.66,1.89,1.89,1.89
-9.80,3.45,0.49,1.89,2.17,2.17
-9.82,3.34,0.39,5.74,5.74,6.23
-9.74,3.31,0.37,10.08,10.08,10.71
-9.71,3.49,0.24,14.07,14.07,14.49
-9.41,4.02,0.19,15.47,15.47,15.47
-9.25,4.63,0.22,12.53,12.04,12.04
-9.26,4.82,0.18,9.03,7.49,7.49
-9.51,4.61,0.00,4.97,4.97,4.97
-9.80,4.61,0.02,3.50,3.50,3.50
-9.66,4.94,-0.01,2.94,2.94,2.80
-9.43,5.28,-0.12,-0.07,-0.07,-0.07
-9.26,5.48,-0.13,-2.38,-2.80,-2.80
-9.12,5.43,-0.10,-3.36,-3.36,-3.43
-9.04,5.45,0.01,-3.01,-3.01,-3.01
-8.83,5.64,0.02,-2.10,-2.10,-2.10
-8.15,5.88,0.00,-1.33,-1.33,-1.26
-7.70,6.13,0.02,-1.61,-1.61,-1.61
-7.09,6.13,0.14,2.24,2.24,2.24
-6.42,6.34,0.15,8.68,8.68,8.68
-5.87,6.70,0.16,10.99,10.99,10.99
-5.29,7.28,0.15,11.06,11.06,11.13
-4.89,7.64,0.14,10.29,10.29,10.29
-4.46,7.85,0.10,9.24,8.68,8.68
-3.91,7.99,0.08,6.93,6.93,6.09
