aX,aY,aZ,gX,gY,gZ
-6.00,-7.31,1.47,20.09,19.25,19.25
-5.89,-7.90,1.64,11.90,10.64,10.64
-5.91,-8.03,1.86,1.96,1.96,1.96
-6.06,-7.57,2.07,-7.91,-9.03,-9.03
-6.27,-7.20,2.23,-15.19,-15.96,-15.96
-6.41,-7.14,2.33,-20.37,-20.37,-20.37
-6.58,-7.37,2.33,-23.31,-23.31,-23.31
-6.67,-7.72,2.22,-22.26,-21.42,-21.42
-6.62,-8.13,2.22,-17.36,-15.61,-15.61
-6.41,-8.26,2.13,-10.22,-10.22,-8.33
-6.33,-8.37,1.91,-3.78,-2.80,-2.80
-6.26,-8.28,1.74,3.15,3.92,3.92
-6.07,-7.81,1.66,14.91,14.91,15.47
-5.83,-7.67,1.57,17.99,17.99,17.99
-5.47,-7.93,1.25,18.62,18.62,18.62
-5.21,-8.22,1.14,17.15,16.73,16.73
-5.14,-8.30,1.02,14.42,13.86,13.58
-5.19,-8.16,0.95,12.74,12.74,12.60
-5.29,-8.07,0.91,12.81,12.81,12.88
-5.33,-8.07,0.85,14.56,14.56,14.56
-5.31,-7.93,0.83,15.68,15.68,15.82
-5.37,-7.74,0.89,14.98,14.98,14.98
-5.50,-7.64,0.90,12.53,12.53,12.53
-5.60,-7.65,0.85,9.94,9.94,9.94
-5.73,-7.66,0.78,9.31,9.45,9.45
-5.85,-7.53,0.69,9.17,9.03,8.89
-6.04,-7.56,0.67,8.47,8.47,8.47
-6.05,-7.82,0.62,8.75,8.96,8.96
-6.10,-8.25,0.55,9.73,10.15,10.36
-6.09,-8.33,0.59,11.62,11.90,12.39
-6.04,-8.26,0.61,13.72,13.72,14.14
-5.94,-8.04,0.56,15.05,15.12,15.12
-5.87,-7.83,0.59,14.28,14.28,14.28
-5.78,-7.67,0.64,12.25,12.25,12.25
-5.78,-7.74,0.64,9.87,9.87,9.87
-5.74,-7.76,0.77,6.44,6.02,6.02
-5.69,-7.70,0.84,2.66,2.17,2.17
-5.61,-7.70,0.88,-0.63,-1.05,-1.05
-5.58,-7.85,0.88,-4.41,-4.41,-4.83
-5.61,-7.97,0.94,-6.09,-6.09,-6.23
-5.58,-7.95,0.97,-7.42,-7.42,-7.42
-5.57,-7.99,1.03,-8.82,-9.03,-9.03
-5.47,-8.11,1.01,-9.17,-9.10,-9.10
-5.46,-8.27,1.03,-8.40,-8.19,-8.19
-5.57,-8.42,1.07,-7.42,-6.65,-6.65
-5.65,-8.51,1.11,-4.62,-4.62,-4.62
-5.74,-8.60,1.14,-1.33,-0.91,-0.91
-5.82,-8.69,1.16,1.89,2.17,2.17
-5.85,-8.41,1.22,4.06,4.06,4.41
-5.89,-8.32,1.31,4.90,4.90,4.90
-5.91,-8.30,1.32,4.69,4.48,4.48
-5.98,-8.39,1.26,4.27,4.27,4.34
-6.06,-8.54,1.33,4.27,4.27,4.27
-6.15,-8.62,1.35,4.13,4.13,4.13
-6.27,-8.78,1.34,3.99,3.99,3.99
-6.38,-8.71,1.36,3.78,3.78,3.78
-6.38,-8.51,1.35,4.20,4.48,4.48
-6.34,-8.42,1.42,5.25,5.25,5.46
-6.41,-8.50,1.45,7.14,7.14,7.14
-6.61,-8.63,1.44,9.94,9.94,9.94
-6.69,-8.76,1.39,13.58,14.14,15.33
-6.78,-8.74,1.36,18.27,18.90,18.90
-6.94,-8.52,1.56,23.17,23.59,23.59
-7.18,-8.40,1.67,26.18,26.53,27.30
-7.27,-8.66,1.93,29.82,30.52,30.52
-7.49,-8.99,1.90,36.61,36.61,37.52
-7.70,-8.79,1.90,43.61,43.61,46.27
-7.91,-8.43,1.94,49.07,49.07,49.35
-7.90,-7.65,2.08,48.72,48.72,48.37
-7.87,-7.12,2.18,43.96,43.96,40.53
-7.93,-6.60,2.42,34.16,34.16,32.97
-8.13,-6.19,2.46,22.89,22.89,22.12
