aX,aY,aZ,gX,gY,gZ
-10.42,-0.48,0.13,11.41,11.41,10.99
-10.09,-0.45,0.15,10.01,10.01,10.01
-9.93,-0.33,0.22,8.47,7.49,7.49
-9.72,-0.53,0.53,4.13,4.13,3.22
-9.42,-0.75,0.63,1.89,1.89,1.89
-9.07,-0.67,0.6,2.59,2.59,2.66
-9.16,-0.57,1.03,1.33,1.33,1.33
-9.03,-0.96,1.2,-0.84,-0.84,-0.84
-8.94,-1.22,1.12,-0.63,-0.63,-0.63
-8.6,-1.12,1.04,0.56,0.56,0.56
-8.68,-0.66,0.93,-2.59,-2.59,-2.59
-8.76,-0.79,1.04,-7.07,-7.07,-7.63
-8.8,-1.2,1.16,-11.41,-11.41,-11.41
-8.69,-1.22,0.87,-10.64,-10.64,-10.64
-8.64,-0.85,0.39,-10.99,-10.99,-10.99
-9,-0.65,0.29,-15.12,-15.12,-15.12
-9.14,-0.89,0.55,-17.57,-17.57,-17.5
-9.13,-1.23,0.69,-16.03,-15.75,-14.98
-9.15,-1.51,0.57,-13.3,-12.95,-12.95
-9.1,-1.9,0.49,-11.55,-11.34,-11.34
-8.97,-2.06,0.45,-8.68,-8.68,-7.98
-9.17,-2.08,0.45,-3.57,-3.08,-3.08
-9.13,-2.24,0.23,-0.14,0.14,0.14
-9.12,-2.33,-0.22,1.68,1.68,1.96
-9.32,-2.17,-0.22,4.83,4.83,4.83
-9.5,-1.64,-0.2,9.24,9.24,9.24
-9.47,-1.44,-0.31,7.28,7.28,7.28
-9.76,-1.6,-0.45,4.34,3.78,3.78
-9.84,-1.53,-0.36,2.8,2.8,2.66
-9.33,-1.11,-0.41,1.33,0.98,0.98
-8.86,-1.02,-0.47,-4.97,-4.97,-5.81
-8.81,-1.31,-0.58,-9.1,-9.94,-10.08
-8.73,-1.61,-0.51,-9.87,-9.87,-9.87
-8.44,-1.35,-0.43,-6.44,-6.44,-6.44
-8.15,-1.22,-0.69,-6.51,-6.51,-6.51
-9.16,-1.56,-1.12,-6.58,-6.58,-6.58
-9.48,-1.55,-1.29,-6.44,-6.44,-6.44
-9.71,-1.63,-1.17,-8.05,-8.05,-8.05
-9.88,-1.69,-1.17,-6.86,-6.02,-6.02
-10.1,-1.51,-0.97,-2.52,-2.52,-1.4
-10.02,-1.48,-0.96,1.68,1.96,1.96
-9.6,-1.69,-0.93,3.22,3.22,3.5
-9.63,-1.61,-0.76,6.51,6.51,7.07
-9.49,-1.49,-0.66,9.66,9.66,9.94
-9.3,-1.52,-0.35,10.43,10.43,10.43
-9,-1.67,-0.38,9.1,8.68,8.68
-8.62,-1.67,-0.42,7.63,7.63,7.28
-8.51,-1.32,-0.8,4.48,4.48,4.48
-8.54,-1.3,-0.84,-1.75,-2.45,-2.45
-8.74,-1.35,-1.13,-7,-7.63,-7.63
-9.07,-1.41,-1.22,-9.59,-9.59,-9.59
-9.49,-1.19,-1.12,-11.76,-11.97,-11.97
-9.51,-1.01,-0.95,-14.56,-15.05,-15.05
-9.49,-1.08,-0.77,-17.43,-17.92,-17.92
-9.61,-1.23,-0.95,-20.16,-20.16,-20.09
-9.75,-1.34,-0.91,-18.69,-18.69,-18.34
-9.48,-1.45,-0.73,-17.22,-17.22,-17.01
-9.12,-1.61,-0.69,-16.73,-16.73,-16.73
-9.14,-1.61,-0.9,-15.68,-15.68,-15.47
-9.14,-1.58,-0.6,-13.37,-13.37,-13.37
-9.09,-1.43,-0.25,-10.92,-10.92,-10.71
-8.75,-1.38,-0.11,-10.64,-10.64,-10.57
-8.79,-1.36,-0.46,-10.92,-10.92,-10.92
-9.03,-1.48,-0.29,-10.99,-10.92,-10.92
-9.17,-1.52,0.26,-10.36,-10.36,-10.36
-9.2,-1.23,0.47,-9.66,-9.66,-9.66
-9.15,-1.2,0.24,-10.71,-10.85,-10.85
-9.53,-1.33,0.35,-11.55,-11.62,-11.62
-9.92,-1.52,0.7,-10.92,-10.08,-10.08
-9.8,-1.57,0.99,-8.47,-8.05,-7.42
-9.53,-1.3,0.84,-5.88,-5.88,-5.81
-9.22,-1.31,0.74,-6.37,-6.37,-6.37
-9.02,-1.6,0.84,-6.93,-6.79,-6.79
-9.02,-1.45,0.74,-5.67,-5.67,-5.25
-8.83,-1,0.68,-3.57,-3.57,-3.57
-8.89,-0.94,0.64,-5.95,-5.95,-5.95
-9.52,-1.31,0.43,-10.43,-10.15,-10.15
-9.88,-1.18,0.65,-8.26,-8.26,-8.05
-10.04,-1.19,0.73,-8.4,-8.47,-8.54
-10.16,-1.4,0.8,-9.1,-9.1,-8.96
-10.38,-1.49,0.9,-7.49,-7.49,-7.07
-9.82,-2.01,0.82,-2.73,-2.73,-2.31
-9.38,-2.21,1.07,-0.14,-0.14,0.21
-9.56,-2.08,1.11,3.57,3.57,3.57
-9.5,-1.9,1.1,5.81,6.58,6.58
-9.32,-1.87,0.97,7.42,7.42,7.7
-9.59,-2.02,1.44,7.35,7.35,7.35
-9.72,-1.89,1.08,7.7,7.77,7.77
-9.81,-1.66,0.98,7.98,7.98,8.05
-9.83,-1.65,1.13,6.79,6.79,6.79
-9.84,-1.9,1.13,5.32,5.32,5.32
-9.9,-1.78,0.88,5.25,5.32,5.32
-9.82,-1.47,0.81,5.39,4.83,4.83
-10.02,-1.37,0.79,3.36,3.01,3.01
-10.37,-1.53,0.91,-0.42,-0.7,-0.7
-10.16,-1.64,0.67,-1.47,-1.61,-1.61
-9.69,-1.7,0.47,-1.82,-1.96,-1.96
-9.6,-1.95,0.42,-3.29,-3.43,-3.43
-9.96,-2.07,0.54,-4.2,-4.2,-4.2
-9.98,-2.11,0.76,-3.57,-3.57,-3.36
-9.46,-2.01,0.48,-0.7,-0.7,-0.35
-9.37,-1.87,0.61,0.63,0.63,0.49
-9.8,-1.88,0.75,0.84,0.84,0.7
-10.05,-1.9,0.9,1.4,1.4,1.61
-9.89,-1.84,0.82,2.24,2.24,2.24
-9.72,-1.65,0.79,1.26,1.26,1.26
-10.02,-1.61,1.1,-1.19,-1.54,-1.54
-9.94,-1.81,1.35,-3.15,-3.15,-3.15
-9.35,-2.05,1.35,-3.01,-2.87,-2.87
-8.97,-1.94,1.25,-2.38,-2.38,-2.38
-8.72,-1.84,1.24,-3.22,-3.22,-3.5
-8.67,-2.3,1.6,-4.76,-4.76,-4.76
-9.06,-2.68,1.7,-3.71,-3.71,-3.71
-9.48,-2.42,1.72,-2.03,-2.03,-2.03
-9.51,-2.13,1.41,-2.73,-2.73,-2.73
-9.75,-2.07,1.4,-3.92,-4.34,-4.34
-10.6,-2.34,1.77,-5.46,-5.46,-5.67
-11.22,-2.34,1.79,-6.37,-6.37,-6.65
-11.04,-2.34,1.62,-8.68,-8.68,-8.68
-10.65,-2.43,1.55,-10.92,-10.92,-10.92
-10.65,-2.72,1.8,-11.55,-11.41,-11.2
-10.27,-3.01,1.69,-6.3,-6.3,-6.3
-9.87,-3.03,1.41,-3.78,-3.78,-3.78
-9.71,-2.91,1.44,-0.7,-0.35,-0.35
-9.85,-2.59,1.62,2.38,2.38,2.52
-9.79,-2.48,1.45,2.66,2.66,2.52
-9.82,-2.39,1.49,2.24,2.31,2.31
-9.94,-2.38,1.67,3.01,3.22,3.22
-10.37,-2.23,1.79,3.57,3.64,3.64
-10.48,-2.18,1.95,2.24,2.24,1.89
-10.24,-2.44,2.07,0.77,0.77,0.63
-9.85,-2.75,2.2,0.56,0.56,0.56
-9.57,-2.92,2.25,1.19,1.33,1.33
-9.36,-3.04,2.29,1.89,2.03,2.38
-9.18,-3.17,2.3,3.01,3.08,3.08
-9.26,-3.05,2.3,4.55,4.69,4.69
-9.61,-2.76,2.36,5.67,5.67,5.67
-9.82,-2.66,2.37,5.46,5.39,5.39
-9.97,-2.55,2.27,4.69,4.69,4.69
-9.91,-2.37,2.12,4.06,4.06,4.06
-9.35,-1.98,1.61,-0.28,-0.56,-0.56
-9.19,-2.01,1.46,-2.17,-2.31,-2.31
-9.12,-1.99,1.32,-4.13,-4.13,-4.27
-8.94,-2.06,1.26,-5.18,-5.6,-5.6
-9.04,-2.11,1.22,-5.95,-5.95,-6.09
-9.18,-2.28,1.2,-5.88,-5.88,-5.95
-9.38,-2.38,1.24,-5.04,-5.04,-4.76
-9.6,-2.37,1.21,-3.78,-3.36,-2.94
-9.71,-2.48,1.16,-1.61,-1.61,-0.84
-9.92,-2.55,1.12,0.63,0.63,0.91
-10.27,-2.57,1.14,3.15,3.64,3.85
-10.59,-2.54,1.26,5.32,5.95,6.09
-10.62,-2.63,1.27,7.56,7.84,7.84
-10.89,-2.56,1.24,9.1,9.17,9.24
-11.52,-2.31,1.26,8.61,8.61,7.77
-11.35,-2.57,1.24,6.51,6.51,6.3
-11.11,-2.76,1.12,6.72,6.72,6.93
-11.2,-2.73,1.01,8.19,8.47,8.61
-11.81,-2.22,1.05,8.4,8.4,8.4
-11.37,-2.28,1,7.7,7.7,7.91
-10.98,-2.45,0.99,8.75,8.75,9.59
-10.52,-2.55,1.11,11.13,11.48,11.48
-10.06,-2.8,1.3,15.05,15.61,15.61
-9.68,-2.84,1.38,19.81,20.51,20.51
-9.48,-2.72,1.41,23.38,23.94,23.94
-9.73,-2.27,1.55,26.6,26.6,26.6
-10.21,-2.01,1.64,25.55,25.2,25.2
-9.97,-2.12,1.42,23.03,23.03,23.03
-9.83,-2.05,1.29,21.14,21.14,21.14
-9.73,-2.01,1.41,19.32,19.32,19.32
-10.2,-1.83,1.5,16.59,15.96,15.96
-10.33,-1.88,1.32,12.11,12.11,12.11
-9.92,-1.9,1.23,10.78,10.78,10.64
-9.3,-1.76,1.06,10.01,10.01,9.66
-9.67,-1.51,1.33,6.23,6.23,6.23
-10.05,-1.73,1.49,1.12,1.12,0.7
-9.77,-1.92,1.26,0.49,0.49,1.05
-9.37,-1.94,1.1,2.66,2.66,2.66
-9.32,-1.84,1.05,1.96,1.96,1.96
-9.69,-1.8,1.17,0.28,0.28,0
-9.61,-2,1.07,0.42,0.42,0.42
-9.64,-1.84,1.13,3.85,3.85,3.85
-9.99,-1.57,1.04,3.85,3.85,3.85
-10.48,-1.4,0.91,1.75,1.26,1.26
-10.15,-1.58,0.69,-0.35,-0.35,-0.28
-9.66,-1.78,0.62,0.56,0.56,1.05
-9.65,-1.82,0.5,1.61,1.61,1.61
-9.14,-2.18,0.37,3.71,3.71,3.71
-8.82,-2.48,0.32,8.33,10.22,10.22
-8.93,-2.27,0.44,16.8,16.8,17.71
-9.17,-1.93,0.17,20.3,20.3,20.3
-8.8,-2.3,0.09,20.3,20.3,20.3
-8.75,-2.46,0.11,22.96,24.08,24.08
-8.8,-2.01,0.31,27.3,27.3,27.72
-8.63,-1.53,0.18,27.02,26.46,26.46
-8.33,-1.73,0.1,21.14,21.14,20.65
-8.35,-2.02,0.26,19.25,19.25,19.25
-8.34,-1.93,0.08,17.15,17.15,17.15
-8.29,-1.86,-0.02,12.95,12.95,12.18
-8.57,-1.91,-0.03,5.04,5.04,5.04
-9.04,-1.77,0.01,2.66,2.1,2.1
-9.33,-1.51,-0.02,1.12,1.12,0.63
-9.38,-1.3,0.03,-1.61,-1.61,-2.52
-9.51,-1.37,0.19,-5.39,-5.39,-6.3
-9.36,-1.74,0,-8.82,-8.82,-8.82
-9.44,-1.8,-0.19,-12.39,-12.39,-12.39
-9.51,-1.65,-0.13,-14.42,-14.42,-14.77
-9.41,-1.75,-0.04,-16.38,-16.38,-16.38
-9.12,-2.34,-0.45,-18.83,-18.9,-18.9
-9.12,-2.34,-0.7,-17.01,-17.01,-15.82
-9.2,-1.97,-0.67,-11.06,-11.06,-9.52
-9.01,-1.81,-0.79,-5.25,-4.69,-4.69
-9.03,-1.8,-0.78,0,0.56,0.56
