aX,aY,aZ,gX,gY,gZ
-9.66,-3.37,3.13,-81.34,-71.12,-71.12
-9.27,-4.32,2.99,-53.48,-49.77,-42.07
-9.56,-4.66,3.46,-23.17,-19.6,-19.6
-9.78,-4.39,3.7,5.53,5.53,5.53
-9.74,-3.96,3.81,27.93,30.17,30.17
-9.57,-3.39,3.93,42.56,44.24,44.24
-9.51,-2.75,3.99,54.88,54.88,56.14
-9.6,-1.56,3.96,62.3,62.3,62.58
-9.4,-1.03,3.95,62.23,62.23,62.02
-8.77,-0.39,3.81,59.64,59.64,59.29
-8.49,0.36,3.84,57.33,56.21,55.58
-8.68,1.31,3.86,50.96,50.96,46.97
-9.21,1.65,4,35.07,35.07,33.25
-8.74,1.29,3.65,23.8,23.8,23.8
-8.7,1.25,3.3,14.35,13.23,13.23
-8.38,1.16,2.9,5.74,4.48,4.48
-8,0.76,2.35,-2.66,-3.57,-3.57
-8.16,0.15,2.18,-7.35,-7.77,-7.77
-8.52,-0.52,2.01,-10.85,-10.85,-11.34
-9,-0.87,1.92,-13.16,-13.58,-13.58
-9.13,-1.18,1.75,-17.78,-17.78,-18.2
-9.3,-1.37,1.71,-20.37,-20.37,-20.65
-9.43,-1.36,1.72,-23.38,-23.38,-23.59
-9.46,-1.11,1.71,-25.34,-25.34,-25.55
-9.62,-0.95,1.76,-27.3,-27.3,-27.3
-9.71,-0.94,1.84,-27.93,-27.93,-27.93
-9.59,-1.24,1.87,-26.25,-26.25,-26.25
-9.59,-1.53,1.94,-23.17,-21.98,-21.98
-9.98,-1.39,2.19,-17.5,-17.5,-16.17
-10.92,-0.43,2.55,-11.06,-10.36,-10.36
-11.72,0.75,2.93,-6.3,-6.3,-4.76
-12.84,2.03,3.27,-3.08,-3.08,-3.01
-12.61,2.09,2.86,-1.96,-1.96,-1.47
-11.81,1.96,2.54,1.61,1.61,2.17
-11.35,1.92,2.2,8.05,8.05,8.05
-11.61,2.06,2.22,11.41,11.41,11.41
-11.67,1.89,1.83,14.35,15.54,15.54
-12.07,2.13,1.32,19.11,19.11,20.09
-12.86,2.94,1.29,21.35,21.35,21.35
-12.96,2.5,1.31,18.13,17.08,17.08
-13.14,1.84,1.56,14.98,14.98,14.7
-12.31,0.7,1.2,16.17,16.59,16.59
-11.79,-0.01,0.57,22.05,22.68,22.68
-11.55,-0.45,0.47,24.99,24.99,24.99
-11.59,-1.17,0.72,26.74,27.02,27.02
-10.97,-1.79,0.89,31.85,31.85,32.76
-9.9,-1.67,0.62,42.42,42.42,43.26
-8.61,-1.33,0.36,46.41,46.41,46.41
-8.47,-0.55,0.56,43.54,42.56,42.56
-8.41,0.27,0.67,35.98,30.73,30.73
-8.65,0.67,0.25,20.16,13.37,13.37
-9.25,1.3,-0.37,-3.15,-3.15,-3.15
