aX,aY,aZ,gX,gY,gZ
-9.90,1.92,1.41,11.48,11.48,11.48
-9.72,1.75,1.34,8.96,8.96,8.96
-9.73,1.51,1.32,6.65,6.51,6.51
-9.83,1.45,1.37,5.11,5.11,4.90
-9.98,1.35,1.41,3.99,3.71,3.50
-9.90,1.30,1.31,2.80,2.52,2.52
-9.83,1.22,1.18,2.31,2.31,2.31
-10.04,1.05,1.12,3.15,3.36,3.36
-10.47,0.82,1.12,4.97,5.25,5.25
-10.88,0.74,1.16,6.65,7.28,7.28
-10.79,0.57,1.25,10.78,10.85,10.85
-10.63,0.56,1.23,11.97,12.32,12.32
-10.32,0.59,1.18,13.58,13.58,13.72
-9.97,0.65,1.10,14.70,14.70,14.70
-9.75,0.72,1.00,15.40,15.47,15.47
-9.77,0.89,1.02,15.54,15.54,15.54
-9.84,0.95,1.01,14.77,14.77,14.70
-10.03,0.99,0.99,13.86,13.86,13.79
-10.37,1.17,0.99,11.55,11.55,11.55
-10.80,1.48,1.00,8.89,8.89,8.89
-11.26,1.58,1.00,4.20,4.20,4.20
-12.69,1.72,1.39,-4.34,-4.76,-4.76
-12.69,1.65,1.46,-7.42,-7.84,-7.84
-12.56,1.60,1.63,-11.06,-11.06,-11.41
-12.16,1.50,1.65,-12.95,-13.51,-13.58
-11.56,1.34,1.68,-14.42,-14.63,-14.70
-11.21,1.12,1.68,-14.63,-14.63,-14.35
-11.25,0.99,1.82,-13.37,-13.37,-13.37
-11.33,0.95,1.90,-12.11,-12.11,-12.11
-11.25,0.93,1.97,-11.62,-11.55,-11.55
-10.97,0.94,2.10,-11.27,-11.27,-11.27
-10.93,1.00,2.18,-11.27,-11.27,-11.27
-10.95,1.22,2.43,-12.25,-12.25,-12.25
-10.81,1.54,2.53,-15.47,-15.47,-15.47
-10.39,1.81,2.50,-18.20,-18.20,-18.76
-9.94,1.73,2.41,-20.86,-20.86,-20.86
-9.73,1.64,2.32,-20.93,-20.79,-20.79
-9.47,1.44,2.20,-20.09,-20.09,-19.74
-9.24,1.52,2.05,-19.46,-19.46,-19.46
-9.36,1.82,1.97,-21.21,-21.21,-21.21
-9.41,1.91,1.93,-23.17,-23.45,-23.45
-9.73,1.95,1.99,-25.48,-25.48,-25.69
-9.95,1.70,1.99,-25.62,-25.62,-25.69
-9.68,1.45,1.87,-22.68,-22.68,-22.68
-9.26,1.19,1.79,-18.55,-18.55,-18.55
-8.85,1.14,1.75,-15.26,-14.42,-14.42
-9.08,1.25,1.86,-11.20,-11.20,-10.15
-9.50,1.37,2.01,-6.58,-6.58,-6.58
-9.60,1.52,2.10,-0.63,-0.63,-0.63
-9.27,1.53,2.04,2.52,3.01,3.01
-8.57,1.42,1.72,6.37,6.37,6.79
-7.56,1.25,1.56,8.61,8.61,8.75
-7.22,0.98,1.61,10.22,10.22,10.50
-7.37,0.57,1.87,13.44,13.44,14.07
-7.46,-0.27,1.87,19.18,20.02,20.02
-6.41,-1.09,1.49,28.77,28.77,29.68
-5.32,-1.26,1.48,35.42,35.42,36.05
-4.14,-1.76,1.35,41.16,41.16,41.16
-3.43,-2.47,1.12,50.89,50.89,52.01
-3.28,-2.95,0.48,63.70,63.70,63.70
-3.83,-2.64,-0.71,69.02,69.02,69.02
-6.01,-1.21,-1.98,65.10,65.10,65.10
-11.12,1.12,-1.90,52.08,52.08,52.08
-14.91,2.23,0.44,23.24,19.53,19.53
