aX,aY,aZ,gX,gY,gZ
-9.73,-2.25,-0.15,1.68,1.68,1.89
-9.69,-2.28,-0.18,2.03,2.17,2.24
-9.74,-2.33,-0.22,2.38,2.38,2.52
-9.82,-2.34,-0.24,2.45,2.45,2.38
-9.78,-2.34,-0.25,2.24,2.24,2.31
-9.63,-2.27,-0.26,1.89,1.89,1.61
-9.49,-2.21,-0.27,0.91,0.91,0.91
-9.39,-2.18,-0.25,-0.21,-0.21,-0.21
-9.42,-2.12,-0.24,-1.26,-1.26,-1.26
-9.40,-2.06,-0.27,-2.10,-2.31,-2.31
-9.43,-1.98,-0.28,-3.92,-3.92,-4.13
-9.39,-1.99,-0.26,-5.11,-5.11,-5.53
-9.40,-1.96,-0.20,-6.02,-6.02,-6.51
-9.44,-1.98,-0.17,-6.86,-6.86,-7.14
-9.50,-1.95,-0.13,-7.14,-7.14,-7.14
-9.57,-2.02,-0.13,-7.14,-7.14,-7.14
-9.93,-2.17,-0.05,-4.90,-4.76,-4.76
-10.02,-2.29,-0.04,-3.15,-2.87,-2.87
-10.21,-2.38,-0.02,0.07,0.07,0.42
-10.27,-2.40,-0.04,1.61,2.10,2.31
-10.13,-2.37,-0.07,3.29,3.29,3.85
-9.69,-2.30,-0.19,5.67,5.67,5.88
-9.50,-2.24,-0.22,6.09,6.09,6.09
-9.39,-2.17,-0.23,5.53,5.53,5.53
-9.35,-2.14,-0.24,4.90,4.55,4.55
-9.48,-2.03,-0.24,3.43,3.01,3.01
-9.53,-1.94,-0.25,0.98,0.70,0.70
-9.72,-2.16,-0.18,-4.20,-4.20,-4.20
-9.67,-2.21,-0.15,-4.62,-4.55,-4.55
-9.56,-2.24,-0.17,-4.48,-4.34,-4.34
-9.58,-2.29,-0.18,-3.71,-3.71,-3.71
-9.65,-2.30,-0.14,-2.52,-2.52,-2.52
-9.67,-2.34,-0.16,-1.68,-1.68,-1.68
-9.71,-2.32,-0.13,-0.98,-0.98,-0.98
-9.69,-2.34,-0.18,-0.28,-0.28,-0.28
-9.60,-2.28,-0.20,0.07,0.07,0.07
-9.54,-2.28,-0.23,0.07,0.07,0.07
-9.45,-2.27,-0.26,0.21,0.21,0.21
-9.42,-2.29,-0.25,0.70,0.84,0.84
-9.54,-2.37,-0.24,1.68,1.68,1.68
-9.68,-2.36,-0.23,2.03,1.89,1.89
-9.70,-2.27,-0.24,1.75,1.75,1.68
