aX,aY,aZ,gX,gY,gZ
-5.36,2.34,-8.17,28.63,28.63,28.63
-5.44,2.31,-8.31,22.12,21.42,21.42
-5.16,2.26,-8.39,17.71,15.40,15.40
-5.07,2.34,-8.51,9.94,9.10,9.10
-5.38,2.47,-8.49,3.50,2.87,2.87
-5.85,2.47,-8.48,-0.14,-0.14,-0.14
-5.86,2.15,-8.31,-2.45,-2.45,-2.45
-5.60,2.04,-8.40,-3.15,-3.15,-3.01
-5.25,1.86,-8.42,-2.45,-1.89,-1.61
-5.13,1.54,-8.60,0.28,0.28,0.84
-4.73,1.16,-8.76,5.74,5.74,6.30
-4.28,0.87,-8.86,11.76,11.76,12.74
-4.12,0.85,-8.80,16.66,16.66,18.83
-4.30,0.91,-8.71,23.52,23.52,23.52
-4.39,0.92,-8.58,28.07,28.07,28.07
-4.34,0.95,-8.78,32.62,32.62,32.62
-4.36,1.14,-8.90,33.67,33.53,33.53
-4.33,1.50,-9.17,31.71,31.71,31.29
-4.19,1.87,-9.41,26.46,25.69,25.69
-4.07,2.07,-9.61,19.11,17.99,17.99
-3.92,2.16,-9.59,7.84,7.84,6.58
-3.67,1.99,-9.49,-1.68,-1.68,-2.66
-3.35,1.53,-9.56,-8.05,-8.05,-8.68
-3.14,1.19,-9.67,-11.76,-11.76,-11.97
-3.12,0.98,-9.51,-11.83,-11.83,-11.83
-3.09,0.83,-9.30,-10.85,-10.85,-10.85
-3.06,0.81,-8.87,-10.08,-10.08,-10.08
-2.97,0.41,-8.73,-3.64,-3.64,-2.52
-2.58,0.93,-8.98,18.97,18.97,19.04
-2.40,0.93,-9.91,20.09,20.09,20.09
-3.29,0.91,-11.22,26.53,26.53,26.53
-4.14,1.34,-11.33,25.76,25.76,25.76
-4.68,1.56,-11.08,19.46,18.41,18.41
-4.58,1.64,-10.83,12.46,11.06,8.33
-4.24,1.65,-10.39,0.98,-0.49,-3.64
-3.01,1.25,-9.42,-28.77,-28.77,-28.77
-2.34,1.06,-9.15,-36.33,-38.43,-38.43
-1.59,0.77,-8.86,-44.10,-44.73,-44.73
-1.18,0.55,-8.65,-47.53,-47.74,-47.74
-1.26,0.34,-8.75,-34.37,-32.76,-32.76
-1.57,0.39,-8.74,-23.66,-22.12,-22.12
-1.97,0.27,-8.74,-8.96,-8.96,-8.96
-2.32,0.29,-8.63,5.32,6.72,6.72
-2.80,0.36,-8.57,14.56,15.75,15.75
-3.20,0.62,-8.68,23.52,23.52,24.15
-3.42,1.01,-8.99,26.46,26.46,26.67
-3.42,1.23,-9.38,26.25,26.25,26.25
-3.40,1.42,-9.66,23.94,23.94,23.94
-3.23,1.54,-9.96,19.81,19.81,19.81
-2.89,1.51,-10.26,12.88,12.88,12.88
-2.46,1.43,-10.31,8.26,6.65,6.65
-2.15,1.41,-10.32,1.68,-0.14,-0.14
-2.01,1.45,-10.22,-5.60,-5.60,-7.49
-2.01,1.51,-10.03,-12.81,-12.81,-12.81
-2.08,1.44,-9.73,-19.95,-19.95,-19.95
-2.11,1.31,-9.66,-22.68,-22.68,-22.68
-2.07,1.06,-9.74,-21.28,-20.79,-20.79
-2.35,0.88,-9.71,-17.08,-17.08,-16.31
-2.65,0.69,-9.63,-8.96,-8.96,-8.96
-2.95,0.65,-9.50,-1.89,-1.89,-1.89
-3.12,0.78,-9.51,4.34,4.34,4.34
-3.16,0.89,-9.54,8.40,9.52,9.52
-3.06,0.96,-9.67,12.46,12.46,13.16
-2.80,0.94,-9.91,15.12,15.12,15.12
-2.55,1.02,-10.11,16.52,16.52,16.52
-2.34,1.08,-10.19,15.96,15.96,15.96
-2.20,1.21,-10.10,14.56,14.56,14.56
-2.33,1.21,-9.98,12.67,12.67,12.67
-2.47,1.37,-9.68,9.24,8.82,8.82
-2.75,1.60,-9.45,6.09,4.48,4.48
-2.91,1.67,-9.19,1.82,1.12,0.14
-2.94,1.47,-8.98,-2.94,-2.94,-3.29
-2.84,1.21,-8.98,-4.62,-4.62,-4.69
-2.67,0.91,-9.04,-4.48,-4.48,-4.48
-2.59,0.60,-9.04,-3.36,-3.01,-3.01
-2.62,0.41,-8.98,-1.47,-1.33,-1.33
-2.63,0.48,-9.10,0.56,0.56,0.91
-2.66,0.54,-9.33,3.15,3.15,3.50
-2.85,0.67,-9.57,5.32,5.32,5.60
-3.01,0.70,-9.78,7.98,7.98,7.98
-3.11,0.72,-9.98,9.10,9.10,9.10
-3.27,0.80,-10.35,9.73,9.73,9.73
-3.49,1.01,-10.67,9.24,8.89,8.89
-4.02,1.37,-10.71,6.65,6.65,6.65
-4.52,1.67,-10.54,0.42,0.42,0.42
-4.81,1.74,-10.39,-4.27,-5.11,-5.11
-4.95,1.76,-9.92,-12.60,-12.60,-13.44
-4.83,1.71,-9.56,-17.92,-19.60,-19.60
-4.59,1.56,-9.29,-24.50,-24.50,-25.90
-4.23,1.31,-9.18,-29.68,-29.68,-30.31
-3.82,0.96,-9.27,-31.50,-31.50,-31.50
-3.48,0.72,-9.20,-29.82,-29.82,-29.82
-3.25,0.65,-9.04,-27.02,-27.02,-27.02
-3.27,0.70,-8.70,-22.54,-21.98,-21.98
-3.39,0.76,-8.52,-18.34,-0.42,-17.78
-3.59,0.85,-8.50,-14.14,-13.44,-13.44
-3.84,0.97,-8.60,-8.19,-8.19,-7.77
-4.20,2.44,-8.62,-5.32,-5.32,-4.97
-4.63,1.46,-8.61,-4.34,-4.34,-4.34
-4.95,1.72,-8.46,-5.95,-5.95,-5.95
-5.16,1.87,-8.35,-8.89,-8.89,-8.89
-5.38,1.96,-8.34,-11.34,-11.34,-12.18
-5.51,2.01,-8.37,-14.70,-14.70,-14.70
-5.64,1.96,-8.38,-18.41,-18.41,-18.41
-5.65,1.90,-8.29,-20.37,-20.37,-20.37
-5.66,1.87,-8.19,-21.63,-21.63,-21.63
-5.67,1.95,-8.05,-22.61,-22.96,-22.96
-5.65,1.82,-8.05,-23.17,-23.10,-23.10
-5.70,1.67,-8.10,-21.07,-20.65,-20.65
-5.86,1.72,-8.11,-17.71,-17.36,-17.36
-6.10,1.96,-7.89,-15.54,-15.33,-15.33
-6.30,2.03,-7.73,-14.63,-14.63,-14.63
-6.53,2.06,-7.53,-13.65,-13.65,-13.51
-6.72,2.19,-7.49,-13.30,-13.30,-13.23
-7.17,2.47,-7.45,-15.54,-16.10,-16.10
-7.50,2.61,-7.46,-18.34,-18.34,-18.34
-7.70,2.61,-7.49,-21.21,-21.21,-21.21
-7.71,2.64,-7.44,-22.12,-22.26,-22.26
-7.89,2.60,-7.37,-22.96,-23.10,-23.38
-8.24,2.79,-7.24,-24.85,-24.99,-24.99
-8.29,2.80,-7.14,-26.81,-27.02,-27.02
-8.32,2.77,-7.05,-28.07,-28.00,-28.00
-8.40,2.68,-6.91,-28.49,-28.49,-28.42
-8.68,2.76,-6.72,-29.19,-29.19,-29.19
-8.71,2.72,-6.61,-30.17,-30.17,-30.17
-8.60,2.75,-6.33,-30.94,-30.94,-30.94
-8.63,2.85,-5.77,-32.48,-32.69,-32.69
-8.42,3.04,-5.04,-41.02,-41.44,-41.44
-8.20,3.39,-4.80,-47.46,-47.46,-47.88
-7.89,3.36,-4.55,-51.03,-52.08,-52.08
-7.12,3.18,-3.73,-56.14,-56.70,-56.70
-6.56,3.07,-2.96,-61.04,-61.04,-61.39
-6.24,2.95,-2.56,-62.51,-62.51,-62.37
-5.96,2.69,-1.90,-61.46,-61.46,-61.46
-5.79,2.25,-0.97,-57.75,-57.75,-57.75
-5.89,2.18,-0.33,-54.11,-54.11,-54.11
-6.32,2.42,-0.01,-50.75,-50.75,-49.56
-6.54,2.53,0.72,-44.87,-44.87,-44.87
-6.70,2.39,1.79,-37.17,-36.05,-36.05
-6.45,2.03,2.54,-28.28,-28.28,-28.28
-6.49,2.61,3.06,-19.46,-19.46,-19.46
-6.31,3.13,3.60,-15.05,-15.05,-15.05
-6.33,2.95,4.58,-9.73,-7.00,-7.00
-6.09,2.82,5.45,-2.03,-1.12,0.77
-5.96,3.55,6.57,5.95,5.95,6.65
-6.31,3.71,6.59,11.90,11.90,11.90
-6.63,4.00,6.49,15.12,16.17,16.17
-7.06,4.40,6.42,18.97,19.25,19.25
-7.60,5.13,6.40,18.41,18.41,17.92
-8.44,5.37,6.06,13.86,13.86,13.86
-8.38,4.94,5.81,12.46,12.46,12.46
-7.66,4.63,5.51,10.08,10.08,10.08
-7.32,4.52,5.25,4.41,4.41,4.41
-7.83,4.37,4.72,-2.38,-2.73,-2.73
-6.44,3.69,4.33,-2.80,-2.80,-2.52
-5.76,2.44,4.19,-1.26,-0.84,-0.35
-7.29,1.69,3.78,2.94,2.94,2.94
-7.92,2.08,3.38,6.30,6.58,6.58
-8.15,2.62,3.19,6.02,5.67,5.11
-8.58,2.87,3.08,2.94,2.94,2.80
-9.49,2.57,3.03,1.89,1.89,1.89
-9.80,2.07,2.79,3.43,3.85,3.85
-9.40,2.06,2.29,8.54,8.54,9.10
-9.26,2.78,2.08,10.64,10.64,10.64
-9.40,2.96,1.95,9.45,9.80,9.80
-9.48,2.26,1.94,13.37,13.37,13.37
-8.96,2.41,1.36,17.50,17.50,17.50
-9.04,2.09,1.08,24.08,24.08,24.08
-9.00,2.48,0.93,27.16,27.93,27.93
-8.64,2.81,1.12,28.70,28.70,28.63
-8.87,3.01,1.23,27.16,27.16,27.16
-9.03,3.06,1.02,25.83,25.27,25.27
-8.58,3.07,0.62,23.31,22.61,22.61
-8.31,3.14,0.37,20.65,20.65,20.09
-8.58,3.33,0.38,17.99,17.99,17.99
-8.64,3.49,0.31,15.54,15.19,15.19
-8.44,3.16,-0.02,13.58,13.58,13.58
-8.35,3.00,-0.23,14.21,14.35,14.35
-8.41,3.06,-0.17,14.77,14.77,14.77
-8.27,3.42,-0.45,13.16,12.74,12.74
-7.85,3.40,-1.07,10.71,10.29,10.29
-7.63,2.92,-1.63,8.19,8.12,8.12
-7.50,2.68,-1.95,6.93,6.93,6.93
-7.78,2.99,-1.89,5.88,5.32,5.11
-8.04,3.18,-2.08,3.57,3.57,3.57
-7.78,2.78,-2.46,3.22,3.43,3.85
-7.61,2.31,-2.71,5.88,6.58,7.70
-7.64,2.30,-3.08,11.27,12.11,12.11
-7.91,2.60,-3.41,18.90,18.90,19.74
-8.26,2.58,-3.76,26.46,26.46,26.46
-8.31,2.30,-4.15,33.39,34.44,34.44
-8.19,2.26,-4.55,44.03,44.03,45.01
-7.98,2.63,-5.09,49.00,49.00,49.42
-7.58,2.62,-5.75,51.10,51.10,51.10
-7.22,2.21,-6.06,52.78,52.78,52.78
-7.07,2.34,-6.47,53.83,53.83,53.76
-6.81,2.66,-6.95,49.28,49.28,48.37
-6.49,2.67,-7.23,41.44,41.44,41.44
-6.39,2.35,-7.74,33.25,33.25,33.25
-6.58,2.18,-8.60,28.00,27.58,27.58
-6.64,2.65,-9.05,23.38,22.61,22.61
-6.38,3.12,-8.86,12.60,12.60,11.27
-6.04,2.40,-8.67,6.30,6.30,5.74
-6.03,1.51,-8.55,6.16,6.16,6.16
-5.87,1.23,-8.74,11.20,11.20,11.20
-5.65,1.54,-8.93,14.07,14.35,14.35
-5.38,1.64,-9.25,15.82,15.82,16.10
-5.28,1.35,-9.44,17.85,17.85,19.32
-5.34,1.05,-9.46,22.89,22.89,23.52
-5.19,1.08,-9.50,25.76,25.76,25.97
-4.58,1.31,-9.45,26.39,26.18,26.18
-3.48,0.65,-9.29,24.50,24.50,24.36
-3.04,0.80,-9.32,23.03,23.03,23.03
-2.91,1.15,-9.36,17.29,17.29,17.29
-2.62,1.39,-9.31,11.83,9.87,9.87
-2.06,1.24,-9.39,0.00,0.00,0.00
-2.08,0.68,-9.61,3.43,3.43,3.43
-2.12,0.21,-9.99,11.20,11.20,11.20
-2.47,-0.08,-10.38,21.35,21.35,21.35
-2.77,-0.07,-10.74,29.75,29.75,29.75
-2.88,0.18,-10.97,38.50,39.27,39.27
-3.23,0.38,-10.98,42.28,42.63,42.63
-3.08,0.28,-10.82,43.75,43.75,43.82
-2.79,0.16,-10.79,43.19,42.28,42.07
-3.00,0.34,-10.58,37.80,37.80,37.80
-3.19,0.91,-10.54,24.36,24.36,24.36
-2.46,0.79,-10.69,0.70,-2.24,-2.24
-1.81,0.57,-10.59,-9.59,-9.59,-11.55
-1.16,0.39,-10.59,-15.75,-15.75,-15.75
-0.77,0.17,-10.35,-18.06,-18.06,-18.06
-0.60,-0.10,-9.98,-15.68,-15.68,-15.68
-0.24,-0.34,-9.82,-11.20,-11.20,-11.20
-0.15,-0.44,-9.54,-4.06,-4.06,-3.29
-0.33,-0.41,-9.27,4.34,4.34,4.34
-0.44,-0.40,-9.28,8.68,10.08,10.08
-0.36,-0.39,-9.34,13.93,13.93,13.93
-0.45,-0.35,-9.45,15.89,15.89,15.89
-0.79,-0.27,-9.60,16.03,16.03,16.03
-1.03,-0.27,-9.83,14.98,14.84,14.42
-1.06,-0.28,-10.26,13.65,13.65,13.51
-1.10,-0.42,-11.05,14.14,14.49,14.91
-1.43,-0.39,-11.83,16.38,16.73,16.73
-1.99,-0.35,-12.13,18.69,18.90,18.90
-2.22,-0.31,-12.07,19.25,19.32,19.32
-2.51,-0.23,-11.91,18.83,18.83,18.83
-2.82,-0.08,-11.74,15.47,14.70,14.70
-2.86,0.24,-11.82,7.70,7.70,6.37
-2.74,0.43,-12.08,-3.36,-3.36,-3.36
-2.56,0.52,-12.39,-17.50,-19.11,-19.11
-2.39,0.58,-12.38,-27.23,-30.45,-30.45
-2.38,0.54,-12.18,-38.99,-40.32,-40.32
-2.43,0.44,-11.86,-50.96,-52.01,-52.01
-2.47,0.35,-11.52,-57.75,-57.75,-57.75
-2.57,0.21,-11.12,-62.79,-62.79,-62.79
-2.47,0.15,-10.79,-65.31,-65.31,-65.31
-2.44,0.11,-10.42,-64.12,-64.12,-64.12
-2.52,-0.11,-10.19,-59.99,-59.99,-58.24
-2.67,-0.22,-10.07,-51.17,-50.12,-50.12
-2.88,-0.03,-10.06,-40.95,-40.95,-40.04
-3.25,0.31,-10.04,-36.12,-34.93,-34.44
-3.77,0.67,-9.78,-32.27,-32.27,-31.29
-4.38,0.81,-9.44,-29.89,-29.89,-28.98
-4.88,0.97,-9.32,-27.58,-27.58,-27.16
-5.20,1.30,-9.31,-25.62,-25.62,-25.76
-5.40,1.65,-9.38,-26.95,-26.95,-27.16
-5.76,1.97,-9.43,-31.08,-31.08,-31.71
-6.00,2.21,-9.43,-36.96,-36.96,-37.73
-6.07,2.26,-9.20,-41.58,-43.26,-44.03
-6.08,2.33,-8.69,-48.09,-48.09,-49.77
-6.03,2.34,-8.30,-56.14,-56.14,-56.14
-6.07,2.46,-7.72,-63.07,-63.49,-63.49
-6.10,2.61,-7.38,-68.18,-68.18,-68.18
-6.03,2.71,-6.81,-72.38,-72.94,-72.94
-5.78,2.68,-6.42,-75.81,-75.81,-75.81
-5.60,2.66,-5.82,-75.39,-75.39,-75.39
-5.50,2.68,-5.13,-72.87,-72.87,-72.87
-5.72,2.67,-4.61,-69.37,-69.37,-69.37
-6.48,3.52,-3.17,-61.11,-61.11,-61.11
-6.59,3.61,-2.79,-62.09,-62.09,-62.09
-6.62,3.44,-1.84,-64.12,-64.40,-64.40
-6.61,3.44,-1.30,-65.52,-65.94,-65.94
-6.80,3.70,-1.00,-66.50,-66.50,-66.57
-6.95,3.70,0.44,-64.54,-64.33,-64.33
-6.91,3.60,1.09,-62.37,-61.74,-61.74
-6.49,3.21,1.71,-56.35,-55.16,-55.16
-5.99,2.96,2.64,-44.17,-44.17,-43.12
-5.55,3.01,3.47,-38.43,-37.03,-35.98
-4.55,2.54,5.12,-30.87,-29.96,-29.96
-4.29,2.47,6.14,-21.56,-21.56,-17.43
-4.11,2.58,6.80,-10.08,-10.08,-5.88
-4.04,3.05,7.19,1.89,1.89,2.73
-4.29,3.50,7.95,7.49,8.68,8.68
-4.34,3.86,8.24,11.06,11.06,11.34
-5.52,4.47,8.35,12.18,12.18,12.18
-6.34,5.47,8.21,7.91,6.72,6.72
-7.25,4.93,8.16,5.04,5.04,4.69
-7.43,4.88,7.88,2.24,2.24,2.24
-7.71,4.57,7.72,0.28,0.28,0.28
-7.61,4.40,7.47,-0.42,-0.28,-0.28
-7.33,4.14,6.92,0.91,0.91,1.12
-6.87,3.81,6.64,3.99,3.99,3.99
-6.47,3.50,6.34,6.86,6.86,6.86
-6.48,3.32,5.78,13.65,13.65,13.65
-6.29,2.99,5.09,21.07,22.05,22.05
-6.69,3.19,4.77,23.66,23.87,23.87
-7.14,3.29,4.61,25.55,25.97,25.97
-7.21,3.07,4.10,30.59,30.59,31.15
-6.96,2.66,3.76,34.16,34.16,36.05
-6.95,2.48,3.45,39.13,39.13,39.83
-7.51,2.90,2.95,45.29,45.29,45.78
-7.80,3.36,2.46,48.65,48.65,49.14
-7.70,3.44,1.97,50.54,50.54,50.82
-7.58,3.30,1.54,51.87,51.87,52.08
-7.62,3.24,1.15,52.64,52.64,52.64
-7.70,3.85,-0.39,43.68,43.68,43.68
-8.24,3.49,-1.73,37.24,36.96,36.96
-8.31,3.63,-2.36,32.90,32.90,32.34
-8.43,3.70,-2.61,29.33,28.14,27.44
-8.60,3.68,-2.91,23.03,23.03,22.40
-8.49,3.61,-3.14,17.92,17.92,17.43
-8.27,3.50,-3.32,13.93,13.93,13.93
-8.20,3.43,-3.90,9.80,9.38,9.38
-7.75,3.03,-4.23,7.49,7.42,7.42
-7.53,2.41,-4.60,8.89,8.89,9.24
-7.64,2.13,-4.88,11.76,11.76,13.37
-7.59,2.18,-4.98,15.75,15.75,16.31
-7.57,2.01,-5.07,21.42,21.42,22.19
-7.67,1.79,-5.24,28.14,28.14,28.91
-7.93,1.82,-5.41,33.81,33.81,33.81
-7.94,2.11,-5.63,37.45,37.52,37.52
-6.83,2.34,-6.73,28.14,28.14,27.09
-6.29,2.51,-6.96,23.03,23.03,21.42
-5.60,2.10,-7.23,17.08,17.08,17.08
-5.33,1.49,-7.60,17.29,17.29,17.64
-5.14,1.19,-7.79,20.02,20.51,20.51
-5.01,1.36,-8.33,23.94,23.94,24.29
-4.76,1.45,-8.74,26.32,27.37,27.37
-4.70,1.01,-9.06,32.76,33.60,33.60
-4.63,0.91,-9.28,40.81,40.81,41.37
-4.71,1.10,-9.41,44.10,44.10,44.10
-4.61,1.42,-9.74,45.08,45.08,45.08
-4.46,1.31,-10.32,45.78,45.78,45.78
-4.47,1.18,-10.40,45.85,45.85,45.85
-4.31,1.24,-10.09,43.75,43.75,43.75
-4.07,1.34,-10.02,37.24,36.33,36.33
-3.76,1.21,-10.27,29.47,29.47,29.47
-3.49,0.89,-10.49,26.04,26.04,25.55
-3.35,0.73,-10.83,22.61,22.61,22.61
-3.32,0.88,-10.90,20.51,19.53,19.53
-3.34,0.86,-10.87,16.59,16.59,15.61
-3.13,0.75,-10.84,12.60,12.60,12.60
-2.95,0.58,-10.61,7.14,7.14,7.14
-2.55,0.72,-10.11,-3.01,-3.01,-3.01
-2.34,0.54,-10.45,-4.90,-4.90,-4.90
-2.35,0.24,-10.76,-1.75,-1.75,-1.75
-2.34,0.16,-10.86,4.97,4.97,4.97
-2.23,-0.14,-10.74,13.44,13.44,13.44
-2.07,-0.20,-10.49,17.99,18.69,18.69
-2.00,-0.04,-10.17,22.05,22.33,22.33
-1.84,0.14,-9.72,23.17,23.17,23.03
-1.45,0.24,-9.59,21.91,21.28,21.00
-1.09,0.25,-9.44,18.69,18.69,17.15
-0.85,0.35,-9.33,14.07,14.07,13.37
-0.60,0.51,-9.27,8.12,8.12,7.42
-0.37,0.45,-9.38,1.89,1.89,1.12
-0.32,0.36,-9.57,-5.81,-5.81,-5.81
-0.28,0.33,-9.81,-11.69,-11.69,-11.69
-0.30,0.26,-10.03,-15.96,-15.96,-17.22
-0.52,0.15,-10.32,-20.02,-20.02,-20.02
-0.91,0.11,-10.55,-22.05,-22.05,-22.05
-1.41,0.16,-10.66,-21.42,-21.42,-21.42
-1.88,0.20,-10.69,-18.13,-18.13,-18.13
-2.29,0.21,-10.65,-15.26,-14.07,-14.07
-2.42,0.11,-10.65,-9.94,-9.94,-8.33
-2.27,-0.11,-10.65,-2.03,-1.12,-1.12
-1.79,-0.18,-10.58,5.18,6.09,6.09
-1.35,-0.34,-10.61,14.07,14.07,15.05
-1.06,-0.34,-10.94,19.11,20.65,21.49
-1.00,-0.29,-11.32,24.85,25.76,25.76
-1.24,-0.00,-11.34,27.72,27.72,27.79
-1.97,0.78,-11.93,20.86,20.86,20.86
-2.38,1.44,-11.99,8.61,8.61,8.61
-2.77,1.90,-11.75,-1.61,-5.39,-5.39
-2.96,1.78,-11.20,-18.48,-18.48,-18.48
-2.60,1.20,-10.57,-59.64,-62.02,-62.02
-2.39,0.81,-10.50,-66.92,-67.62,-67.62
-2.23,0.13,-10.67,-65.45,-65.45,-64.54
-2.18,-0.25,-10.88,-51.10,-51.10,-51.10
-2.32,-0.03,-11.03,-39.41,-39.41,-39.41
-2.63,0.24,-11.20,-28.63,-28.63,-26.11
-3.10,0.71,-11.05,-19.39,-18.76,-18.76
-3.82,1.16,-10.54,-16.52,-16.52,-16.52
-4.63,1.75,-10.34,-35.63,-18.06,-18.06
-5.13,2.06,-10.41,-22.33,-23.24,-23.24
-5.36,2.30,-10.47,-32.06,-32.06,-33.11
-5.33,2.31,-10.46,-40.11,-40.11,-41.02
-5.38,2.17,-10.21,-46.76,-46.76,-47.46
-5.48,2.10,-9.91,-53.55,-53.55,-53.55
-5.56,2.16,-9.76,-57.89,-59.22,-59.22
-5.00,2.35,-8.58,-80.57,-80.57,-80.57
-4.95,2.32,-8.12,-87.22,-87.22,-87.22
-5.04,2.23,-7.63,-89.18,-89.60,-89.60
-5.34,2.33,-6.60,-91.35,-91.35,-91.35
-5.73,2.41,-6.09,-92.33,-92.33,-92.33
-6.00,2.44,-5.27,-90.93,-90.93,-90.93
-6.53,2.73,-4.86,-88.97,-88.97,-88.97
-6.94,3.32,-4.40,-85.68,-85.68,-85.68
-6.88,3.54,-4.05,-84.91,-84.98,-84.98
-6.84,3.51,-3.55,-86.10,-86.45,-86.45
-5.47,3.20,-1.78,-99.12,-99.12,-99.12
-5.56,2.98,-0.49,-103.74,-103.74,-104.09
-5.28,2.43,0.45,-104.58,-104.58,-104.09
-5.03,1.54,1.86,-97.37,-97.37,-97.37
-4.71,0.66,3.84,-80.15,-77.84,-77.84
-4.40,0.37,4.55,-65.94,-58.94,-58.94
