aX,aY,aZ,gX,gY,gZ
-7.47,-0.40,5.09,10.92,10.92,11.48
-7.19,-0.28,4.68,15.89,15.89,15.89
-7.40,-0.29,4.44,19.67,19.67,19.67
-7.81,-0.22,4.07,25.55,26.25,26.25
-8.03,0.13,3.80,29.19,29.68,29.68
-8.20,0.43,3.28,31.99,32.34,32.34
-8.50,0.60,2.90,33.11,33.11,33.60
-9.13,0.68,2.40,34.23,34.23,34.37
-9.42,0.82,1.80,33.53,33.53,33.53
-9.68,1.07,1.40,31.99,31.99,31.99
-9.64,1.15,0.98,28.07,28.07,28.07
-9.75,1.15,0.72,25.69,25.69,25.69
-9.75,1.26,0.44,22.61,22.61,22.61
-9.38,1.27,0.04,19.60,19.60,19.60
-8.93,1.18,-0.31,18.06,17.78,17.78
-8.60,0.90,-0.78,15.68,15.68,15.47
-8.23,0.58,-1.65,15.33,15.33,15.82
-8.16,0.42,-2.12,16.73,16.73,17.01
-8.31,0.29,-2.82,20.58,20.58,20.58
-8.52,0.40,-3.46,22.61,22.89,22.89
-8.81,0.27,-5.33,23.03,23.03,23.03
-9.04,0.26,-5.80,22.54,22.54,22.54
-9.24,0.17,-6.11,21.70,21.70,21.70
-9.09,0.19,-6.40,19.74,19.60,19.60
-8.70,0.18,-6.61,18.13,17.85,17.85
-8.07,0.10,-6.88,16.66,16.59,16.59
-7.34,0.12,-7.03,16.10,16.03,16.03
-6.59,0.10,-7.24,15.54,15.54,15.54
-5.95,-0.01,-7.73,14.91,14.91,14.91
-5.48,-0.12,-7.92,13.58,13.58,13.58
-5.26,-0.18,-8.02,11.55,11.34,11.34
-5.21,-0.01,-8.30,10.99,10.99,10.99
-5.34,0.08,-8.55,10.78,10.78,10.64
-5.62,0.15,-8.77,7.21,7.21,7.21
-5.69,0.21,-9.11,3.99,3.99,3.99
-5.56,0.15,-9.53,3.08,3.08,3.08
-5.55,0.12,-9.91,2.73,2.73,2.59
-5.42,0.22,-10.31,0.49,0.49,0.49
-5.14,0.21,-10.27,-1.26,-1.26,-1.26
-4.82,0.33,-10.45,-3.15,-3.15,-3.15
-4.62,0.33,-10.75,-4.48,-4.48,-4.48
-4.48,0.30,-10.90,-3.85,-3.85,-3.85
