aX,aY,aZ,gX,gY,gZ
-0.68,-7.71,6.17,2.24,1.68,1.68
-0.67,-7.75,6.15,1.61,1.61,1.82
-0.68,-7.75,6.14,1.40,1.40,1.40
-0.68,-7.70,6.12,1.82,1.89,1.89
-0.65,-7.72,6.13,1.82,1.82,1.82
-0.69,-7.73,6.11,1.54,1.54,2.31
-0.69,-7.75,6.14,1.47,1.61,1.61
-0.69,-7.74,6.14,2.03,1.82,1.82
-0.68,-7.74,6.14,1.75,1.75,2.03
-0.67,-7.70,6.13,1.82,1.75,1.75
-0.68,-7.75,6.15,1.75,1.75,1.75
-0.69,-7.73,6.12,1.96,1.68,1.68
-0.70,-7.74,6.15,1.68,1.68,1.68
-0.68,-7.72,6.13,2.10,1.61,1.61
-0.66,-7.72,6.13,1.89,1.89,2.10
-0.70,-7.74,6.13,1.82,1.82,1.82
-0.68,-7.75,4.90,1.82,2.17,2.17
-0.68,-7.72,6.13,1.89,1.89,1.89
-0.69,-7.73,6.11,2.03,2.03,2.10
-0.65,-7.73,7.73,-22.82,-22.82,-22.82
-2.19,-10.11,5.76,-71.61,-71.61,-71.61
-0.62,-5.97,6.66,-40.46,-40.46,-51.87
-2.00,-8.31,4.07,5.88,20.23,20.23
-0.78,-9.42,6.02,8.40,7.98,0.84
0.04,-7.48,5.16,-27.16,-13.51,-13.51
0.55,-8.04,5.15,59.08,59.08,75.46
3.39,-18.09,19.92,11.48,-84.42,-84.42
-2.70,-9.54,8.57,-141.54,-141.54,-88.200.15,-7.81,4.51,-92.47,-92.47,-92.47
1.97,-3.56,4.58,23.31,23.31,23.31
0.57,-10.04,8.87,-10.43,-10.43,-33.67
-4.38,-4.89,2.21,-77.70,-77.70,-77.70
-0.46,-8.95,8.39,-42.77,-42.77,-42.77
0.73,-8.66,4.80,-125.16,-125.16,-125.161.35,-8.99,4.45,-196.14,-196.14,-196.140.03,-9.09,3.80,-235.27,-235.27,-235.271.01,-11.68,4.72,-169.75,-169.75,-169.75
-5.91,-15.37,-0.25,-39.41,-39.41,-39.411.74,-14.96,5.93,-231.00,-268.94,-268.94
5.02,-15.19,3.65,-279.30,-266.35,-266.35
2.66,-16.21,1.20,-165.41,-158.41,-158.41
3.49,-16.59,0.19,-28.56,-26.81,-26.81
5.84,-11.27,0.81,16.03,16.03,16.03
11.36,-12.38,4.27,21.35,21.35,21.35
7.81,-11.81,2.24,-79.31,-79.31,-79.31
8.25,-10.24,2.34,-174.51,-174.51,-181.44
7.84,-10.96,3.13,-204.19,-204.19,-204.19
5.62,-9.54,1.56,-170.03,-135.73,-135.738.23,-6.98,0.73,5.67,42.70,42.70
7.26,-12.75,1.85,98.35,113.47,113.47
7.58,-12.34,3.73,167.37,167.37,195.30
7.62,-5.76,5.79,282.59,405.16,405.16
9.03,-1.69,7.68,1003.80,1003.80,1003.809.25,-2.63,0.19,487.62,487.62,487.62
8.65,-3.99,1.12,387.87,387.87,387.87
7.87,-8.23,11.77,55.58,-35.42,-35.42
6.67,-6.46,6.80,-74.13,-74.13,-56.21
6.36,-9.58,3.48,2.03,2.03,2.03
5.02,-10.39,2.81,-14.84,-2.45,-2.45
6.08,-9.51,6.12,-71.96,-71.96,-81.13
5.33,-6.01,4.73,-44.24,-44.24,-44.24
4.57,-4.35,4.32,-20.16,-20.16,-20.16
3.89,-4.80,2.50,-12.39,-12.39,-12.39
3.01,-4.28,3.44,23.80,23.80,23.80
3.24,-1.82,4.57,4.27,4.27,-7.91
1.51,0.03,4.26,-33.60,-33.60,-35.00
0.04,0.72,2.92,-5.32,-5.32,-5.32
-0.48,2.71,1.85,52.15,62.44,62.44
0.34,5.42,2.15,105.21,105.21,109.83
2.56,5.85,2.90,80.36,76.51,73.92
2.92,6.28,2.24,39.20,35.42,35.42
2.87,6.41,0.57,33.88,34.72,38.08
3.17,6.83,3.20,41.37,41.37,36.89
2.44,8.54,3.21,17.85,17.85,18.48
0.77,5.10,2.46,43.82,43.82,43.82
0.16,4.47,3.54,35.56,35.56,35.56
2.05,1.19,2.13,-4.34,-4.34,-4.34
2.46,-1.11,-0.17,-22.05,-22.05,-19.60
0.43,-2.02,2.04,-17.85,-17.85,-17.85
0.83,-4.78,4.76,-28.14,-28.14,-28.70
6.28,-6.48,2.58,-15.40,-15.40,-14.07
5.33,-8.28,3.65,-3.99,-3.99,-3.99
4.83,-10.68,8.01,-34.44,-34.44,-34.44
7.56,-12.49,6.35,1.33,1.33,1.33
7.49,-13.58,5.13,67.06,67.06,67.06
7.96,-17.53,10.51,36.89,40.11,40.11
8.52,-16.26,13.35,19.60,19.60,16.17
10.71,-14.64,13.89,17.85,17.85,17.85
12.47,-12.08,14.03,11.62,11.62,11.62
12.41,-10.64,13.93,9.73,9.73,9.73
12.05,-10.62,12.39,-24.43,-24.43,-24.4311.81,-11.37,11.51,-33.46,-33.46,-34.5110.63,-11.28,10.84,-31.08,-31.08,-25.979.42,-10.54,9.69,2.59,2.59,2.59
8.29,-8.73,8.32,21.84,27.72,27.72
6.70,-7.63,5.47,12.81,12.81,16.24
5.52,-6.53,5.23,21.70,21.70,21.70
4.83,-3.18,3.81,47.18,50.40,50.40
3.84,-1.51,3.03,47.74,43.26,43.26
2.60,-1.67,1.61,-0.21,-0.21,-0.21
2.17,-1.51,1.20,9.24,9.24,9.24
1.77,0.25,0.87,21.42,21.42,21.42
1.13,1.18,0.78,29.68,29.68,29.68
1.04,2.56,0.32,38.57,38.57,38.57
2.58,4.53,0.09,28.98,28.98,26.32
4.39,4.69,0.50,24.57,24.57,24.57
5.60,4.93,0.02,36.19,36.19,36.19
5.91,4.87,-0.65,43.26,43.26,43.12
5.20,4.83,0.21,24.92,24.92,21.14
3.41,3.76,1.12,-6.02,-8.33,-8.33
2.04,3.30,1.05,-2.87,4.06,7.28
0.29,2.62,1.74,20.44,20.44,18.55
0.52,1.52,2.27,5.39,1.61,-1.54
1.78,0.18,0.77,-13.02,-17.22,-20.58
1.48,-0.61,2.14,-35.63,-35.63,-38.50
1.59,-1.94,4.41,-44.31,-44.31,-44.31
3.13,-4.39,3.73,-24.78,-21.28,-21.28
4.41,-5.26,4.47,0.28,0.28,0.28
3.81,-5.26,8.46,-31.71,-31.71,-31.71
6.74,-5.70,8.00,-40.46,-38.50,-38.50
8.51,-6.70,6.35,-15.89,-7.98,-7.98
7.81,-7.66,7.08,2.24,3.36,3.36
5.95,-8.02,12.78,-11.27,-11.27,-11.27
8.95,-8.72,10.94,7.56,7.56,7.56
9.64,-9.39,9.00,56.07,56.07,56.07
7.92,-11.20,11.99,34.86,34.86,34.86
6.56,-13.57,15.48,-30.87,-32.20,-32.20
7.10,-12.99,15.11,-9.24,-4.20,-4.20
6.82,-13.31,16.75,6.65,7.35,7.35
7.16,-12.45,15.67,9.10,9.10,8.68
7.74,-11.72,14.40,24.71,24.71,25.48
7.54,-11.93,13.43,21.49,21.49,18.62
8.15,-12.01,11.87,16.59,16.59,17.29
8.27,-11.59,10.91,-0.35,-0.35,-0.35
8.33,-10.75,8.90,-0.56,6.79,16.87
7.06,-10.38,9.19,11.83,11.83,11.83
6.09,-10.59,9.31,8.82,8.82,9.45
5.09,-10.13,9.01,6.51,6.51,6.51
4.69,-7.38,7.65,7.70,7.70,7.70
4.23,-3.58,4.64,29.89,29.89,29.89
2.27,-2.53,3.74,-7.42,-7.42,-7.42
1.64,-1.42,1.80,4.41,4.41,8.40
1.59,1.81,0.59,33.46,33.46,33.53
1.30,1.95,1.24,21.56,17.15,17.15
2.01,2.20,0.57,-8.68,-14.56,-14.56
3.63,3.26,0.60,15.05,15.05,25.62
4.17,4.30,1.69,46.34,46.34,46.69
4.04,4.32,2.72,27.51,27.51,27.51
3.83,3.74,2.03,3.92,2.52,2.52
3.84,3.23,2.77,4.13,4.13,4.13
3.65,2.06,2.79,21.00,21.00,21.00
2.98,0.85,2.11,36.68,36.68,36.47
2.05,0.84,3.35,-13.09,-13.09,-13.09
3.88,0.16,3.78,-12.95,-9.80,-9.80
3.46,-1.13,2.50,-3.43,-2.87,-2.87
2.35,-2.17,3.36,-9.66,-9.66,-9.66
3.00,-2.21,6.86,-18.90,-21.07,-21.07
6.62,-4.19,5.07,-18.48,-18.48,-18.48
5.19,-5.97,6.28,-17.85,-17.85,-17.85
3.95,-9.17,10.55,-8.05,-8.05,-8.05
6.03,-10.02,10.21,18.27,18.27,18.27
7.77,-7.52,9.02,35.84,35.84,35.84
7.05,-5.08,10.88,31.78,28.00,28.00
6.83,-5.72,14.19,0.35,-14.28,-14.28
9.48,-6.29,12.97,9.66,9.66,9.59
9.15,-5.87,12.47,11.13,5.95,1.82
7.55,-7.36,14.54,-22.12,-24.78,-24.78
8.45,-8.80,15.66,-35.91,-35.91,-36.19
9.26,-9.46,15.39,-33.39,-33.39,-33.39
9.28,-10.54,16.03,-15.40,-15.40,-13.51
10.01,-10.56,14.06,4.76,4.76,4.76
10.17,-9.22,13.67,2.10,2.10,2.10
10.14,-8.11,13.05,-27.09,-27.09,-27.09
10.67,-7.85,11.79,-21.63,-21.63,-21.63
9.85,-7.44,11.50,-4.13,-4.13,-1.89
8.94,-6.57,10.26,20.93,20.93,20.93
8.62,-5.81,9.28,36.54,37.94,37.94
7.54,-5.36,8.94,23.80,17.85,7.42
6.85,-5.57,7.26,-10.78,-13.44,-17.08
5.83,-4.92,5.74,-8.19,-8.19,-8.19
4.80,-2.41,5.47,42.91,38.64,38.64
