aX,aY,aZ,gX,gY,gZ
-1.73,-9.62,-0.85,0.63,0.63,0.63
-1.75,-9.70,-0.89,0.84,0.84,0.84
-1.79,-9.80,-0.93,1.19,1.33,1.33
-1.79,-9.80,-0.96,1.82,1.96,1.96
-1.78,-9.68,-0.89,2.52,2.52,2.52
-1.78,-9.57,-0.84,2.45,2.45,2.45
-1.79,-9.57,-0.75,2.03,2.03,2.10
-1.72,-9.69,-0.66,1.61,1.61,1.61
-1.59,-9.99,-0.61,1.19,1.19,1.19
-1.54,-10.24,-0.49,1.19,1.19,1.26
-1.46,-10.38,0.05,1.05,1.05,1.05
-1.45,-10.47,0.34,1.33,1.61,1.61
-1.51,-11.02,0.61,3.29,4.27,4.27
-1.63,-11.55,0.94,7.84,7.84,9.45
-1.42,-11.53,1.17,18.20,18.20,18.20
-1.21,-10.92,1.40,30.24,30.24,30.24
-1.26,-10.63,1.59,39.90,39.90,39.90
-1.43,-10.73,1.85,49.56,49.56,49.56
-1.44,-10.85,2.04,55.02,55.02,56.91
-1.52,-10.94,2.04,74.97,76.44,76.44
-1.67,-10.86,1.89,84.70,85.89,85.89
-1.82,-10.69,1.87,91.49,92.26,92.26
-1.95,-10.48,1.74,98.84,98.84,99.54
-2.15,-10.52,1.62,103.04,103.04,105.21
-2.52,-10.89,1.41,110.18,110.18,110.95
-2.85,-11.18,1.42,118.51,118.51,118.51
-3.09,-11.15,1.48,125.72,125.72,125.72
-3.08,-10.92,1.44,134.96,135.87,135.87
-2.98,-10.48,1.53,140.21,142.31,142.31
-2.98,-10.14,1.77,145.25,145.74,146.44
-3.10,-9.73,2.27,148.19,148.40,148.40
-3.28,-9.55,2.43,149.38,149.38,150.01
-3.42,-9.34,2.48,151.76,151.76,151.76
-3.67,-9.00,2.55,154.14,154.14,154.14
-3.99,-8.39,2.78,155.68,155.75,155.75
-4.35,-8.00,2.93,154.98,154.98,154.98
-4.87,-7.55,2.96,153.72,153.09,152.88
-5.22,-6.75,2.94,150.29,150.29,150.29
-5.50,-6.15,2.97,146.51,146.09,146.09
-5.78,-5.58,3.02,142.94,142.94,142.94
-6.20,-5.21,2.92,138.88,138.88,138.88
-6.95,-4.91,2.60,133.84,133.84,133.84
-7.73,-4.41,2.51,129.64,129.64,129.64
-8.24,-3.85,2.60,124.74,124.74,124.74
-8.63,-3.13,2.63,120.26,120.26,119.49
-9.07,-2.35,2.53,112.42,111.37,111.37
-9.38,-1.80,2.19,104.72,104.09,104.09
-9.55,-1.44,1.87,98.42,98.42,98.00
-9.78,-0.92,1.68,95.76,95.41,95.41
-9.78,0.74,0.68,87.57,87.57,87.57
-9.82,2.01,0.43,62.58,62.58,59.08
-9.65,2.22,0.33,53.48,53.48,52.29
-9.02,2.76,0.35,43.12,43.12,42.00
-7.93,3.48,0.07,17.78,17.78,17.78
-7.44,3.68,0.02,14.14,14.14,13.79
-7.07,4.02,0.06,9.17,9.17,9.17
-7.40,3.94,-0.11,-1.26,-1.75,-1.75
-8.14,3.59,-0.25,-3.50,-3.57,-3.57
-8.26,3.43,-0.27,-3.85,-3.85,-3.85
-7.68,3.83,-0.21,-7.91,-7.91,-7.91
-7.00,4.21,-0.15,-18.34,-18.34,-18.34
-7.18,4.11,-0.30,-24.43,-25.90,-25.90
-7.90,3.66,-0.50,-28.77,-28.91,-28.91
-8.48,3.25,-0.56,-28.00,-28.00,-27.65
-8.80,3.13,-0.16,-26.11,-26.11,-26.11
-9.07,3.14,0.08,-23.52,-23.52,-22.96
-9.37,3.02,0.06,-20.02,-19.25,-19.25
-9.43,2.75,0.04,-9.80,-8.61,-8.61
-9.55,2.57,0.02,0.49,1.82,1.82
-9.49,2.68,0.03,10.15,11.13,11.13
-9.11,3.09,-0.01,16.24,16.52,16.52
-9.00,3.35,-0.03,18.55,18.76,18.76
-9.50,3.15,-0.03,19.67,20.93,20.93
-10.05,2.36,-0.18,26.11,26.11,26.11
-9.75,2.14,-0.30,33.32,33.67,33.67
-9.07,2.58,-0.18,33.95,32.34,32.34
-8.63,3.21,0.32,27.51,25.06,25.06
-8.69,3.19,0.55,15.54,14.63,14.63
-9.01,2.74,0.54,10.01,10.01,9.31
-9.03,2.44,0.66,6.37,5.95,5.95
-8.61,2.33,0.91,2.94,2.94,2.59
-8.58,1.87,0.71,2.31,2.31,2.31
-8.91,1.34,0.46,7.21,7.21,8.26
-8.83,1.40,0.72,16.45,16.45,16.45
-8.37,2.05,1.03,19.32,19.04,19.04
-7.81,2.81,1.07,15.19,14.07,14.07
-7.60,3.44,1.42,2.80,0.77,0.77
-7.70,3.46,1.58,-15.68,-15.68,-17.15
-8.31,2.95,1.58,-25.34,-25.34,-26.53
-8.77,2.53,1.41,-32.83,-32.83,-32.83
-8.70,2.01,1.41,-33.74,-33.67,-33.67
-8.73,1.54,1.39,-33.11,-32.90,-32.90
-8.96,0.93,1.41,-31.85,-31.85,-31.36
-9.84,-0.29,1.20,-27.16,-27.16,-27.16
-10.84,-1.40,1.02,-21.42,-20.44,-18.55
-11.38,-2.10,1.02,-14.14,-13.44,-12.18
-11.44,-2.11,1.19,-10.57,-10.57,-10.71
-11.16,-1.78,1.22,-11.97,-11.97,-12.04
-10.84,-1.49,1.17,-13.30,-13.30,-13.30
-10.83,-1.23,1.12,-12.60,-12.60,-12.60
-10.95,-0.89,1.08,-12.39,-12.60,-12.60
-10.79,-0.46,1.03,-14.49,-14.49,-15.61
-10.54,-0.37,0.74,-25.76,-25.76,-26.74
-10.70,-0.79,0.66,-28.07,-28.07,-28.07
-11.11,-1.55,0.43,-23.80,-23.80,-23.80
-11.11,-2.11,0.30,-14.77,-14.77,-14.77
-10.53,-2.15,0.22,-3.57,-3.57,-3.57
