aX,aY,aZ,gX,gY,gZ
-9.03,1.74,1.71,5.81,5.81,5.81
-9.02,1.89,1.87,6.44,6.44,6.44
-8.82,1.96,1.85,6.02,6.02,6.02
-8.70,2.01,1.89,4.97,4.97,4.97
-8.72,1.87,1.94,4.48,4.48,4.48
-8.75,1.76,1.94,3.92,3.92,3.99
-8.77,1.75,1.91,3.22,3.22,3.22
-8.78,1.79,1.91,2.73,2.73,2.73
-8.71,1.82,1.82,2.31,2.31,2.31
-8.88,1.96,1.76,2.87,2.94,2.94
-9.21,2.17,1.76,3.71,3.92,3.92
-9.46,2.35,1.74,4.41,4.41,4.62
-9.89,2.54,1.60,5.32,5.32,5.32
-10.18,2.58,1.55,5.95,5.95,5.95
-10.32,2.52,1.46,6.58,6.65,6.65
-10.29,2.50,1.31,6.65,6.65,6.79
-10.26,2.51,1.26,6.72,6.72,6.72
-10.21,2.54,1.24,6.93,6.93,6.86
-10.06,2.43,1.10,6.72,6.72,6.72
-9.92,2.32,1.00,7.35,7.35,7.35
-9.81,2.20,0.97,8.40,8.40,8.40
-9.79,2.11,1.00,10.57,10.57,10.99
-9.66,2.14,1.10,13.65,13.65,14.00
-9.07,2.81,1.45,22.68,22.68,22.75
-8.96,3.02,1.59,24.36,24.36,24.36
-8.88,3.13,1.64,25.69,25.69,25.69
-8.56,3.33,1.71,27.58,27.65,27.65
-8.56,3.56,1.74,27.23,27.23,27.23
-8.51,3.78,1.68,26.18,25.62,25.27
-8.53,3.97,1.62,22.89,22.89,22.89
-8.71,4.11,1.60,19.39,18.76,18.76
-8.73,4.21,1.55,16.38,14.77,14.77
-8.78,4.36,1.49,11.83,11.13,11.13
-8.86,4.40,1.42,5.60,5.60,5.04
-8.99,4.37,1.38,0.84,0.84,0.28
-9.13,4.23,1.28,-3.08,-3.08,-3.43
-9.28,4.14,1.20,-5.46,-6.30,-6.58
-9.42,3.91,1.15,-8.54,-8.54,-8.54
-9.52,3.68,1.05,-9.87,-10.01,-10.01
-9.54,3.33,0.97,-10.57,-10.57,-10.57
-9.61,3.09,0.89,-10.01,-10.01,-10.01
-9.70,2.92,0.91,-8.40,-8.40,-8.40
-9.69,2.82,0.94,-5.60,-5.60,-5.60
-9.62,2.82,0.98,-3.99,-3.99,-3.71
-9.55,2.84,1.04,-1.68,-1.68,-1.33
-9.54,2.87,1.16,1.68,1.68,1.68
-9.49,2.94,1.22,4.06,4.06,4.06
-9.45,3.04,1.31,6.16,6.16,6.16
-9.43,3.19,1.38,7.70,7.98,7.98
-9.45,3.32,1.45,8.19,8.26,8.26
-9.51,3.39,1.52,7.91,7.56,7.56
-9.68,3.51,1.58,6.65,6.23,5.95
-9.90,3.51,1.67,4.90,4.90,3.99
-10.11,3.42,1.72,1.96,1.96,1.61
-10.65,3.26,1.80,-3.08,-3.08,-3.71
-11.27,3.24,1.79,-8.33,-8.33,-8.33
-12.38,2.29,1.76,-32.69,-33.39,-33.39
-12.50,1.64,1.71,-38.22,-39.48,-40.11
-12.59,1.18,1.61,-42.70,-42.70,-43.68
-12.80,0.47,1.57,-45.36,-45.36,-45.36
-12.80,-0.19,1.35,-45.50,-45.50,-45.50
-12.85,-0.69,1.23,-43.89,-43.89,-43.89
-12.77,-1.03,1.28,-41.02,-40.46,-40.46
-12.40,-1.28,1.25,-36.96,-36.96,-36.96
-12.11,-1.38,1.20,-32.83,-32.83,-32.83
-11.94,-1.47,1.24,-31.15,-31.15,-30.66
-11.50,-1.81,1.27,-30.87,-30.87,-31.15
-11.13,-2.10,1.29,-33.18,-33.18,-33.74
-10.32,-2.38,1.07,-38.15,-38.15,-38.85
-9.50,-2.79,0.91,-43.82,-43.82,-44.45
-8.53,-3.49,0.83,-48.09,-48.09,-48.09
-7.65,-4.19,0.69,-50.47,-50.47,-50.47
-6.90,-4.67,0.65,-50.61,-50.61,-50.61
-6.02,-5.22,0.50,-49.07,-49.07,-49.07
-5.25,-5.59,0.42,-46.90,-46.90,-46.90
-4.66,-6.03,0.47,-44.31,-43.54,-43.54
-3.93,-6.31,0.38,-41.16,-41.16,-40.32
-3.22,-6.64,0.31,-37.87,-37.87,-37.87
-2.60,-7.04,0.25,-33.25,-33.25,-33.25
-1.70,-6.99,-0.02,-31.43,-31.43,-31.43
-1.01,-6.78,-0.16,-32.90,-32.90,-32.90
-0.48,-7.03,-0.14,-34.37,-34.37,-34.37
0.13,-7.07,-0.32,-36.54,-37.31,-37.31
0.75,-7.24,-0.55,-38.64,-38.92,-39.48
2.38,-7.28,-0.71,-40.81,-40.88,-40.88
1.80,-7.53,-0.81,-41.79,-41.79,-41.72
2.53,-7.70,-1.01,-40.25,-40.25,-40.04
3.11,-7.81,-1.12,-38.85,-38.43,-38.43
3.32,-7.95,-1.11,-36.47,-35.91,-35.56
3.51,-8.18,-0.99,-33.67,-32.76,-32.34
3.80,-8.60,-0.91,-29.26,-29.26,-27.02
3.96,-8.75,-0.75,-23.10,-23.10,-22.33
3.83,-8.71,-0.37,-16.38,-16.38,-15.89
3.53,-8.66,-0.13,-13.86,-13.86,-13.79
3.07,-8.55,-0.04,-13.86,-14.07,-14.28
2.37,-8.59,0.19,-15.54,-15.96,-15.96
1.83,-8.61,0.45,-17.78,-17.78,-18.06
1.39,-8.50,0.51,-20.30,-20.30,-20.65
0.96,-8.46,0.52,-23.52,-23.52,-23.94
0.66,-8.46,0.38,-26.32,-26.32,-26.32
0.41,-8.54,0.23,-25.97,-25.97,-25.97
0.38,-8.60,-0.01,-22.54,-21.91,-21.91
0.17,-8.58,-0.18,-18.13,-17.57,-17.57
-0.07,-8.24,-0.43,-11.83,-11.83,-11.34
-0.29,-7.95,-0.67,-8.61,-8.61,-8.61
-0.71,-7.67,-0.86,-4.27,-4.27,-4.27
-1.01,-7.53,-0.92,-1.40,-0.49,-0.49
-1.24,-7.27,-1.01,1.61,1.61,1.89
-1.57,-6.78,-1.06,1.47,1.33,1.33
-3.37,-5.87,-1.03,-2.45,-2.45,-2.94
-3.89,-5.31,-0.96,-7.21,-7.21,-7.21
-4.67,-4.77,-0.95,-14.35,-14.35,-14.35
-5.67,-4.63,-0.86,-16.73,-16.94,-16.94
-6.22,-4.36,-0.79,-18.62,-18.62,-19.11
-6.91,-3.64,-0.76,-21.56,-22.19,-22.68
-7.88,-3.17,-0.78,-24.43,-24.92,-25.20
-8.55,-2.81,-0.75,-25.48,-25.41,-25.20
-8.82,-2.41,-0.80,-24.08,-24.08,-22.96
-8.79,-1.97,-0.90,-21.56,-21.00,-20.44
-9.84,-1.59,-0.68,-17.15,-17.15,-14.07
-11.00,-0.21,-0.67,5.39,5.39,5.39
-11.26,1.06,-0.87,11.76,11.76,13.09
-12.35,1.75,-0.37,20.72,20.72,20.72
-12.39,2.32,-0.55,24.92,25.34,25.34
-12.52,3.71,-0.42,22.61,22.61,22.61
-12.86,4.03,-0.35,21.28,21.28,21.28
-12.81,4.36,-0.45,18.55,18.55,18.55
-12.89,4.75,-0.25,16.45,16.45,16.17
-12.60,4.86,-0.19,12.46,12.46,12.46
-12.59,4.83,-0.17,10.57,10.22,10.22
-12.53,4.35,-0.01,10.22,10.22,10.57
-12.38,3.92,0.22,12.25,12.25,12.25
-12.06,3.67,0.33,15.47,15.47,15.47
-12.09,3.59,0.34,18.27,18.27,18.27
-11.98,3.52,0.31,18.69,18.55,18.55
-12.25,3.85,0.67,8.40,8.40,8.40
-11.99,4.86,0.99,-10.29,-11.27,-11.27
-12.04,4.93,1.22,-18.41,-18.41,-19.04
-12.19,5.07,1.36,-22.40,-23.80,-24.43
-12.47,5.40,1.55,-28.07,-28.70,-29.68
-12.40,5.57,1.57,-36.12,-36.12,-36.12
-12.49,5.39,1.66,-44.10,-44.73,-44.73
-12.92,5.04,1.81,-48.44,-49.07,-49.07
-13.13,4.65,1.85,-52.08,-52.29,-52.29
-13.17,4.11,1.91,-54.81,-54.81,-54.95
-13.28,3.66,1.89,-56.35,-56.35,-56.42
-13.40,3.28,1.84,-57.19,-57.26,-57.54
-13.05,2.59,1.66,-58.10,-58.03,-58.03
-12.50,2.00,1.56,-58.66,-58.66,-58.66
-11.83,1.21,1.52,-58.38,-58.59,-58.59
-10.93,0.70,1.42,-58.94,-58.94,-58.94
-10.23,0.01,1.38,-59.15,-59.29,-59.29
-9.33,-0.56,1.16,-61.18,-61.60,-61.60
-8.46,-0.83,0.91,-64.26,-64.26,-64.26
-7.63,-1.80,0.87,-66.57,-66.57,-66.71
-6.58,-2.16,0.59,-68.53,-68.53,-68.53
-5.66,-2.70,0.59,-69.72,-69.72,-69.72
-4.93,-3.20,0.56,-69.86,-69.72,-69.72
-4.21,-3.85,0.56,-68.18,-68.18,-67.76
-3.70,-4.76,0.81,-63.98,-63.98,-63.28
-3.22,-5.38,0.84,-55.79,-55.79,-55.02
-2.50,-5.66,0.78,-51.52,-51.52,-51.52
-1.91,-5.96,0.58,-47.88,-47.88,-47.88
-1.14,-6.33,0.20,-45.64,-45.57,-45.57
-0.33,-6.43,-0.20,-46.13,-46.34,-46.34
0.91,-6.45,-0.67,-48.51,-48.86,-48.86
1.93,-6.79,-1.00,-51.52,-51.52,-52.01
3.15,-7.10,-1.47,-53.83,-53.83,-53.90
4.54,-7.44,-1.57,-52.78,-52.78,-52.78
5.58,-7.89,-1.62,-46.34,-45.22,-45.22
5.94,-8.10,-1.59,-36.89,-36.89,-36.89
5.74,-7.99,-1.55,-26.60,-26.60,-25.55
5.32,-7.96,-1.45,-19.04,-19.04,-18.20
4.40,-7.99,-1.29,-12.39,-12.39,-11.48
3.54,-7.81,-1.06,-6.23,-6.23,-5.53
2.63,-7.50,-0.85,-3.15,-3.15,-3.15
1.73,-7.45,-0.61,-3.43,-3.43,-3.43
0.99,-7.57,-0.53,-3.29,-3.22,-3.22
0.51,-7.40,-0.46,-3.71,-3.99,-3.99
0.34,-7.09,-0.48,-7.00,-7.00,-7.49
0.18,-6.77,-0.56,-10.64,-11.06,-11.06
-0.40,-6.74,-0.66,-14.21,-14.21,-14.07
-0.80,-6.78,-0.64,-14.07,-13.93,-13.93
-1.18,-6.34,-0.67,-14.21,-14.21,-14.21
-1.46,-5.89,-0.74,-16.24,-16.24,-16.24
-2.26,-5.25,-0.78,-20.51,-20.51,-20.51
-3.11,-5.30,-0.78,-20.09,-20.09,-20.09
-4.03,-5.19,-0.66,-16.24,-15.96,-15.96
-5.03,-4.44,-0.58,-15.05,-14.91,-14.91
-5.77,-3.75,-0.72,-14.84,-14.56,-14.56
-7.22,-3.18,-0.66,-12.04,-12.04,-12.04
-8.33,-2.54,-0.63,-7.49,-7.49,-7.14
-8.91,-1.81,-0.77,-4.90,-4.90,-4.90
-9.40,-1.02,-0.79,-4.34,-4.34,-4.34
-10.31,-0.67,-0.80,-1.82,-1.82,-0.56
-11.19,-0.21,-0.70,3.92,3.92,3.92
-11.57,0.37,-0.63,10.43,10.43,10.43
-12.05,1.31,-0.62,15.96,15.96,16.59
-12.48,1.90,-0.76,19.53,19.53,19.74
-13.15,2.63,-0.65,21.56,21.56,21.91
-13.85,3.60,-0.61,22.75,22.75,22.75
-13.72,4.11,-0.76,20.09,20.09,20.09
-13.67,4.48,-0.75,15.82,15.82,15.82
-13.59,4.62,-0.72,11.20,11.20,11.20
-14.07,4.75,-0.48,9.17,8.54,8.54
-13.81,4.79,-0.27,6.37,6.37,5.60
-12.65,3.96,-0.10,0.00,0.00,0.00
-12.50,3.21,-0.17,2.03,2.31,2.31
-12.33,2.79,-0.23,4.27,4.27,4.41
-12.71,2.75,-0.22,5.25,5.25,5.25
-13.17,2.64,-0.29,5.39,5.39,5.11
-13.31,2.73,-0.31,3.43,3.43,3.43
-13.30,2.98,-0.25,-1.19,-1.75,-1.75
-13.38,3.13,-0.11,-6.37,-7.07,-7.07
-13.40,3.52,0.15,-10.99,-11.62,-11.62
-13.05,3.68,0.33,-16.38,-17.08,-17.08
-12.78,3.79,0.57,-21.63,-22.68,-23.24
-12.53,3.80,0.82,-25.34,-25.34,-26.32
-12.18,3.79,1.07,-28.14,-28.14,-28.14
-12.07,3.84,1.31,-29.54,-29.54,-29.54
-11.85,3.97,1.40,-30.59,-30.87,-30.87
-12.03,4.05,1.61,-32.06,-32.06,-32.13
-12.25,3.98,1.74,-33.53,-33.53,-33.53
-12.31,3.97,1.69,-35.42,-35.42,-35.42
-12.36,3.75,1.82,-37.17,-37.17,-37.17
-12.32,3.04,1.70,-37.66,-37.80,-37.80
-12.08,2.49,1.56,-37.52,-37.52,-37.45
-11.66,1.82,1.45,-36.75,-36.75,-36.68
-11.20,1.22,1.39,-36.54,-36.54,-36.47
-10.63,0.59,1.30,-36.89,-36.89,-36.96
-10.54,0.21,1.28,-37.17,-37.17,-37.17
-9.97,-0.46,1.27,-37.52,-37.52,-37.52
-9.54,-1.00,1.28,-38.08,-38.08,-38.08
-8.75,-1.59,1.14,-39.69,-40.60,-40.60
-8.17,-2.01,1.11,-43.12,-43.75,-43.75
