aX,aY,aZ,gX,gY,gZ
-9.61,-0.14,0.34,1.68,1.68,1.19
-9.92,-0.17,0.46,-2.73,-2.73,-2.73
-10.25,-0.35,0.85,-7.07,-7.42,-7.42
-10.23,-0.64,0.67,-8.26,-8.12,-8.12
-9.85,-0.88,0.43,-6.23,-4.83,-4.83
-9.85,-0.76,0.54,-2.52,-2.45,-1.82
-9.79,-0.64,0.81,-0.91,-0.91,-0.35
-9.53,-0.84,0.76,0.84,0.84,2.03
-9.55,-0.92,0.50,3.92,3.92,4.90
-10.11,-0.84,0.66,6.37,6.37,6.58
-10.44,-0.54,0.96,6.30,6.30,6.02
-10.11,-0.44,1.11,4.90,4.90,4.90
-9.34,-0.34,0.95,4.06,4.06,4.06
-9.26,-0.27,1.07,1.68,1.40,1.40
-9.36,-0.33,1.17,-0.21,-0.77,-0.77
-9.53,-0.53,0.90,-1.12,-1.12,-0.91
-9.95,-0.70,0.78,-0.07,0.28,0.56
-9.90,-0.67,0.65,5.25,5.25,5.46
-9.90,-0.59,0.62,6.09,6.09,6.09
-10.00,-0.53,0.74,6.23,6.23,6.16
-9.72,-0.22,0.83,5.25,4.97,4.97
-9.44,-0.04,0.73,1.40,1.40,0.98
-9.42,-0.12,0.74,-5.39,-5.39,-5.74
-9.85,-0.30,0.64,-8.33,-8.33,-8.33
-10.15,-0.50,0.61,-8.89,-8.89,-8.89
-10.34,-0.70,0.67,-8.47,-8.47,-8.05
-10.25,-0.84,0.63,-5.39,-5.39,-5.39
-10.20,-0.98,0.63,-2.10,-0.77,-0.77
-10.06,-0.83,0.64,2.52,2.52,2.52
-9.60,-0.50,0.67,5.67,5.67,5.67
-9.07,-0.37,0.64,6.09,6.16,6.16
-9.18,-0.41,0.52,5.60,5.60,5.67
-9.59,-0.39,0.51,5.39,5.18,5.04
-9.88,-0.28,0.60,3.99,3.99,3.01
-9.92,-0.23,0.63,1.05,1.05,-0.07
-9.83,-0.36,0.62,-1.33,-1.33,-1.61
-9.91,-0.45,0.57,-1.96,-1.96,-2.03
-9.87,-0.38,0.51,-2.03,-2.03,-2.03
-9.72,-0.35,0.60,-2.17,-2.17,-2.17
-9.67,-0.42,0.54,-2.94,-2.73,-2.73
-9.97,-0.53,0.48,-2.73,-2.59,-2.59
-10.20,-0.58,0.57,-0.77,-0.77,-0.56
-10.06,-0.46,0.67,0.56,0.91,1.05
-9.73,-0.31,0.67,1.33,1.40,1.26
-9.50,-0.28,0.67,1.05,1.05,0.63
-9.45,-0.22,0.72,0.56,0.56,0.56
-9.49,-0.16,0.78,0.14,0.14,0.14
-9.52,-0.21,0.77,-0.49,-0.63,-0.63
-9.72,-0.35,0.68,-0.98,-0.98,-1.05
-9.95,-0.43,0.75,-0.63,-0.63,-0.63
-10.03,-0.43,0.82,0.42,0.42,0.42
-9.80,-0.34,0.73,1.40,1.68,1.68
-9.47,-0.25,0.54,2.45,2.45,2.45
-9.49,-0.33,0.40,2.87,2.87,2.94
-9.50,-0.26,0.31,3.15,2.94,2.80
-9.52,0.06,0.40,1.26,0.91,0.91
-9.38,0.15,0.40,-3.36,-3.36,-3.85
-9.15,0.01,0.33,-5.74,-5.95,-6.16
-9.08,-0.07,0.22,-6.30,-6.30,-6.23
-8.95,0.21,0.21,-6.09,-6.37,-6.37
-8.81,0.39,0.33,-9.59,-9.59,-10.29
-8.78,0.19,0.28,-16.66,-16.66,-17.22
-8.45,0.15,0.13,-20.44,-20.44,-20.86
-8.43,0.32,0.16,-23.03,-23.03,-23.31
-8.37,0.46,0.22,-29.54,-29.54,-30.17
-8.63,0.15,-0.19,-35.07,-35.07,-35.56
-8.94,-0.12,-0.27,-37.80,-37.80,-38.15
-9.55,-0.16,-0.01,-39.62,-39.62,-39.62
-9.79,-0.17,0.03,-40.11,-40.11,-40.11
-9.73,-0.52,0.02,-39.62,-39.62,-39.62
-9.04,-0.41,0.04,-38.22,-38.08,-38.08
-8.06,0.12,-0.03,-38.15,-38.15,-38.15
-8.57,-0.31,-0.13,-40.32,-40.32,-40.32
-9.07,-0.79,-0.03,-41.09,-40.95,-40.95
-9.01,-0.73,0.06,-40.60,-40.39,-40.39
-8.99,-0.70,0.26,-40.11,-39.97,-39.97
-9.22,-1.00,0.42,-38.92,-38.92,-38.57
-8.90,-1.08,0.24,-34.02,-34.02,-34.02
-8.38,-0.75,0.39,-31.43,-31.01,-31.01
-8.83,-1.18,1.09,-30.17,-30.17,-29.61
-7.78,-1.67,0.58,-18.41,-18.41,-16.73
-8.15,-1.21,0.77,-12.04,-12.04,-12.04
-9.56,-1.90,0.99,-6.79,-6.79,-6.79
-10.21,-2.51,0.61,-1.12,-1.12,-1.12
-10.43,-2.51,0.51,4.62,4.62,4.62
-10.91,-2.01,0.64,5.95,5.67,5.67
-10.99,-1.80,0.45,0.28,-0.77,-0.77
-10.38,-1.83,0.11,-5.95,-9.31,-9.31
-10.29,-1.79,-0.00,-16.80,-17.99,-17.99
-10.85,-2.08,0.13,-29.75,-29.75,-30.87
-11.04,-2.90,-0.14,-35.00,-35.63,-35.70
-10.75,-3.28,-0.24,-34.72,-34.72,-33.88
-10.48,-3.35,0.09,-28.84,-28.84,-28.84
-10.53,-3.55,0.58,-19.60,-18.48,-18.48
-10.46,-3.57,0.69,-12.04,-7.91,-7.91
-10.21,-3.46,0.38,-0.84,0.49,3.15
-10.00,-3.00,0.23,10.99,10.99,11.90
-9.71,-2.42,0.04,16.03,16.03,16.03
-9.22,-2.01,-0.23,15.61,15.61,15.61
-9.32,-1.64,-0.26,13.30,12.81,12.81
-9.90,-1.51,-0.13,7.98,7.98,7.98
-10.22,-1.73,-0.21,2.31,2.31,2.31
-10.53,-2.06,-0.35,-0.21,-0.21,-0.21
-10.25,-2.02,-0.46,-1.82,-1.82,-2.52
-9.53,-1.83,-0.45,-4.48,-4.48,-4.48
-8.94,-1.79,-0.50,-4.48,-4.48,-4.48
-9.03,-1.90,-0.55,-2.10,-2.10,-2.10
-10.21,-1.99,-0.30,0.42,0.42,0.42
-11.09,-1.95,-0.05,2.31,2.52,2.52
-11.10,-1.94,-0.33,2.73,2.73,2.73
-11.03,-1.92,-0.73,2.87,2.87,3.15
-11.09,-1.71,-0.80,3.15,3.15,2.66
-11.22,-1.49,-0.67,0.84,0.35,0.35
-11.22,-1.58,-0.56,-3.64,-3.92,-3.92
-11.42,-1.90,-0.64,-6.65,-6.65,-6.65
-11.65,-1.90,-0.48,-6.30,-6.02,-6.02
-11.34,-2.02,-0.37,-4.27,-4.27,-3.57
-10.50,-2.02,-0.43,-0.56,-0.14,-0.14
-10.08,-1.94,-0.33,4.13,4.13,4.48
-9.83,-1.79,-0.23,5.95,6.30,6.44
-9.73,-1.66,-0.15,6.72,6.72,6.79
-9.60,-1.61,-0.20,6.79,6.65,6.65
-9.68,-1.50,-0.08,6.23,6.23,5.74
-9.79,-1.47,0.21,3.99,3.99,3.99
-9.69,-1.51,0.10,0.07,0.07,0.07
