aX,aY,aZ,gX,gY,gZ
-8.86,0.67,-2.42,-17.78,-17.78,-17.64
-8.70,0.43,-2.40,-17.01,-17.01,-16.87
-8.63,0.07,-2.57,-15.40,-15.40,-15.12
-9.14,-0.06,-2.64,-13.65,-13.65,-13.65
-9.69,-0.17,-2.90,-13.16,-13.16,-13.16
-10.24,0.03,-3.03,-13.93,-14.28,-14.28
-10.02,0.11,-3.09,-15.96,-16.17,-16.17
-9.38,-0.22,-3.21,-16.24,-16.24,-16.17
-9.53,-0.18,-3.19,-13.72,-13.72,-13.23
-10.02,-0.19,-3.03,-9.59,-9.59,-9.17
-10.03,-0.29,-2.82,-6.16,-6.16,-5.67
-10.10,-0.39,-2.43,-0.77,-0.77,-0.21
-10.46,-0.45,-2.25,2.73,2.73,2.73
-10.73,-0.56,-2.16,6.86,6.86,6.86
-10.98,-0.64,-1.95,11.76,12.39,12.39
-10.91,-0.61,-1.87,14.91,16.31,16.31
-11.00,-0.51,-1.66,18.13,18.48,18.90
-11.49,-0.24,-1.67,19.67,19.81,19.81
-11.33,0.34,-1.64,18.48,18.06,17.85
-11.51,0.46,-1.74,15.40,15.19,15.19
-11.52,0.45,-1.79,12.88,12.88,12.25
-11.98,0.27,-1.80,7.28,6.93,6.93
-12.43,0.03,-1.81,5.32,5.32,5.32
-12.58,-0.33,-1.75,3.78,3.78,3.64
-12.47,-0.60,-1.66,3.50,3.50,3.50
-12.10,-0.89,-1.56,3.85,3.85,4.13
-11.93,-1.00,-1.36,4.76,4.76,4.76
-11.65,-0.87,-1.13,5.39,5.39,5.39
-11.39,-0.59,-0.91,4.55,4.55,4.13
-11.05,-0.33,-0.70,2.38,2.38,2.38
-10.61,-0.12,-0.54,0.07,0.07,-17.85
-10.27,0.01,-0.16,-2.24,-2.24,-2.24
-10.40,0.24,0.18,-3.08,-3.29,-3.29
-10.58,0.37,0.65,-3.71,-3.71,-3.71
-10.68,0.37,0.79,-4.20,-4.20,-4.20
-10.69,0.31,0.77,-4.69,-4.69,-4.69
-10.72,0.21,0.77,-5.32,-5.32,-5.32
-10.75,0.12,0.83,-5.46,-5.46,-5.46
-10.84,0.07,0.71,-5.04,-5.04,-5.04
-10.88,-0.04,0.50,-4.62,-4.62,-4.62
-10.93,-0.16,0.10,-4.06,-4.06,-4.06
-10.88,-0.26,-0.31,-4.27,-4.27,-4.27
-10.62,-0.47,-0.76,-4.97,-5.18,-5.18
-10.46,-0.66,-1.01,-6.23,-6.23,-6.44
-10.43,-0.92,-1.17,-6.79,-6.86,-6.72
-10.78,-1.07,-1.42,-6.79,-6.72,-6.79
-10.32,-1.22,-1.84,-7.42,-7.42,-7.42
-10.12,-1.28,-1.82,-5.95,-5.46,-5.46
-9.59,-1.34,-1.81,-2.73,-2.73,-1.68
-9.14,-1.41,-1.58,3.29,3.29,3.29
-9.63,-1.37,-1.34,9.45,9.45,9.45
-9.63,-1.43,-1.17,14.42,15.96,15.96
-9.50,-1.38,-1.01,20.86,20.86,22.54
-9.07,-1.46,-0.94,27.86,27.86,27.86
-8.39,-1.62,-1.04,37.94,37.94,37.94
-7.97,-1.70,-1.08,44.73,47.11,47.11
-7.79,-1.73,-1.02,71.26,54.60,57.33
-7.75,-1.72,-0.98,66.99,68.46,68.46
-7.69,-1.77,-0.90,77.91,77.91,81.69
-7.55,-1.88,-0.79,90.37,90.37,90.37
-7.69,-1.73,-0.65,99.47,99.47,100.45
-8.21,-1.35,-0.40,106.33,106.33,107.66
-8.33,-0.87,-0.30,110.53,110.53,110.53
-7.84,-0.47,-0.53,110.81,110.81,110.81
-7.43,-0.18,-0.63,107.87,107.87,107.17
-7.42,0.14,-0.73,97.93,97.93,97.93
-7.42,0.22,-0.83,88.13,88.13,88.13
-7.40,0.16,-0.97,76.72,76.72,76.72
-7.40,0.04,-0.95,58.24,58.24,58.24
-7.72,0.21,-0.95,45.78,43.75,43.75
-8.04,0.50,-0.97,28.28,28.28,25.97
-8.21,0.76,-1.05,9.66,7.21,7.21
-8.71,1.21,-0.96,-15.05,-15.05,-17.71
-9.38,1.57,-1.00,-30.52,-35.70,-38.29
-9.56,1.15,-1.48,-71.19,-73.22,-73.22
-9.70,0.80,-1.80,-85.33,-86.66,-86.66
-9.38,0.11,-1.99,-95.62,-95.62,-96.11
-9.14,-0.57,-2.08,-97.93,-97.93,-98.00
-7.01,-2.58,-2.31,-76.58,-76.58,-76.58
-7.16,-2.53,-2.24,-60.97,-60.97,-60.97
-6.97,-2.57,-2.23,-51.52,-48.30,-48.30
-6.75,-2.71,-2.24,-39.76,-39.76,-37.24
-7.65,-2.21,-2.21,-30.31,-30.31,-30.31
-8.34,-1.60,-2.16,-21.91,-21.91,-21.91
-8.65,-1.40,-2.07,-18.20,-18.20,-18.20
-8.81,-1.30,-2.05,-17.36,-17.36,-17.43
-9.23,-1.02,-2.07,-18.69,-18.69,-18.69
-9.37,-0.94,-2.04,-20.93,-20.93,-20.93
-9.48,-0.97,-2.10,-22.61,-23.17,-23.17
-9.44,-1.10,-2.09,-24.57,-24.57,-25.13
-9.35,-1.25,-1.98,-25.83,-25.83,-25.83
-9.69,-1.24,-2.00,-25.97,-25.97,-25.97
-10.11,-1.22,-2.01,-25.90,-25.83,-25.83
-9.77,-1.53,-1.85,-24.99,-24.50,-24.50
-9.77,-1.54,-1.71,-22.61,-22.61,-21.84
-9.41,-1.55,-1.55,-17.43,-17.43,-17.43
-9.54,-1.19,-1.60,-15.19,-15.19,-15.19
-9.36,-1.12,-1.53,-13.23,-13.23,-13.23
-9.46,-1.10,-1.43,-11.06,-11.06,-11.06
-10.26,-1.19,-1.41,-9.31,-8.75,-8.75
-10.49,-1.24,-1.44,-6.44,-6.44,-5.60
-10.21,-1.27,-1.40,-1.68,-1.68,-1.68
-10.64,-1.33,-1.54,4.69,5.46,5.46
-10.64,-1.34,-1.53,7.42,8.12,8.12
-10.68,-1.29,-1.65,10.36,10.36,10.36
-10.78,-1.14,-1.87,12.88,12.88,12.88
-10.46,-0.90,-1.95,13.23,13.23,13.16
-10.30,-0.76,-2.02,12.39,12.39,12.39
-10.51,-0.68,-2.20,11.76,11.76,11.76
-10.99,-0.78,-2.12,10.99,10.85,10.85
-10.92,-0.94,-2.12,10.64,10.64,10.64
-10.52,-1.10,-2.16,10.85,10.85,10.85
-10.58,-1.18,-2.13,10.99,10.99,10.99
-10.76,-1.51,-2.12,10.36,10.36,10.36
-10.74,-1.59,-2.10,10.15,10.15,10.15
-10.61,-1.60,-2.02,10.36,10.36,10.36
-10.66,-1.57,-2.00,10.78,10.78,10.78
-10.76,-1.55,-2.01,10.78,10.78,10.78
-10.85,-1.37,-2.05,9.52,9.52,9.31
-11.24,-1.21,-2.08,8.19,7.70,7.70
-11.56,-1.10,-2.11,5.53,5.18,5.18
-11.78,-1.16,-2.08,-4.20,-4.20,-4.20
-11.47,-1.25,-2.00,-6.79,-7.14,-7.14
-11.12,-1.26,-1.85,-10.64,-10.64,-11.06
-10.88,-1.32,-1.69,-13.65,-13.65,-14.00
-10.71,-1.22,-1.65,-16.66,-16.66,-17.08
-10.40,-1.11,-1.61,-20.23,-20.23,-20.72
-10.24,-0.99,-1.58,-24.08,-24.08,-24.57
-10.16,-0.91,-1.56,-27.72,-27.72,-28.00
-10.33,-0.75,-1.58,-30.73,-30.73,-31.08
-10.78,-0.51,-1.65,-33.88,-33.88,-34.44
-11.32,-0.34,-1.70,-37.24,-37.24,-37.24
-11.65,-0.33,-1.66,-41.44,-41.86,-41.86
-11.81,-0.32,-1.68,-44.38,-44.38,-44.73
-11.72,-0.27,-1.61,-46.48,-46.48,-46.62
-11.66,-0.21,-1.59,-47.81,-47.81,-47.88
-11.61,-0.04,-1.66,-48.79,-48.79,-48.79
-11.81,0.10,-1.72,-49.42,-49.42,-49.42
-12.08,0.27,-1.83,-50.19,-50.19,-50.19
-11.89,0.29,-2.04,-51.03,-51.03,-51.17
-11.45,0.23,-2.23,-51.38,-51.38,-51.38
-11.04,0.22,-2.49,-50.89,-50.89,-50.89
-10.78,0.22,-2.61,-50.26,-49.98,-49.98
-10.90,0.45,-2.75,-49.28,-49.28,-49.21
-10.95,1.16,-2.53,-48.58,-48.58,-48.58
-10.62,1.09,-2.42,-47.39,-47.39,-47.39
-9.84,1.08,-2.60,-45.29,-45.29,-45.29
-9.36,1.04,-2.61,-42.70,-42.21,-42.21
-9.07,0.92,-2.39,-38.43,-37.94,-37.94
-9.24,0.91,-2.32,-35.14,-35.14,-34.65
-8.94,0.82,-2.17,-31.78,-31.78,-31.22
-8.47,0.74,-1.95,-26.74,-26.74,-26.74
-8.35,0.73,-1.72,-21.98,-21.98,-21.98
-7.92,0.67,-1.70,-16.17,-14.91,-14.91
-7.23,0.74,-1.56,-11.34,-10.22,-10.22
-6.77,0.82,-1.31,-7.21,-7.21,-7.21
-6.70,0.98,-0.87,-4.69,-4.41,-3.78
-6.84,1.06,-0.48,-1.40,-1.40,-1.05
-6.99,1.29,-0.29,1.40,1.40,1.40
-6.82,1.49,-0.14,2.59,2.87,2.87
-6.96,1.77,0.14,3.99,3.99,4.06
-7.34,2.24,0.37,3.85,3.85,3.78
-7.70,2.77,0.56,2.94,2.38,2.10
-7.88,3.24,0.81,-0.42,-0.42,-0.42
-7.90,3.59,1.17,-4.55,-4.90,-4.90
-7.80,3.74,1.34,-7.63,-7.84,-7.84
-7.51,3.86,1.40,-8.96,-9.31,-9.52
-7.35,4.10,1.55,-10.15,-10.43,-10.50
-7.24,4.34,1.66,-11.27,-11.27,-11.27
-6.81,4.42,1.79,-11.62,-11.69,-11.69
-6.50,4.56,1.80,-11.06,-10.85,-10.85
-6.73,4.71,1.80,-9.66,-9.59,-9.59
-7.02,4.91,1.81,-8.96,-8.61,-8.61
-7.41,5.31,1.93,-8.68,-8.61,-8.61
-7.59,5.68,1.98,-9.94,-10.08,-10.08
-7.98,5.92,1.84,-12.25,-12.25,-12.53
-9.75,6.19,1.86,-15.33,-15.33,-15.68
-8.83,6.25,1.76,-17.78,-17.78,-18.13
-8.37,5.84,1.34,-18.90,-18.90,-18.97
-8.21,5.70,1.02,-18.27,-18.27,-18.27
-8.05,5.36,0.81,-16.80,-16.80,-16.80
-8.02,5.17,0.64,-14.35,-14.35,-13.23
-8.12,5.01,0.36,-8.47,-8.47,-8.47
-8.44,4.94,0.14,-3.36,-3.36,-3.36
-8.48,4.89,-0.08,1.82,1.82,1.82
-8.20,4.81,-0.21,6.72,7.21,7.21
-8.08,4.86,-0.27,9.45,9.59,9.59
-8.00,4.58,-0.31,11.76,12.67,13.09
-7.45,4.19,-0.36,17.08,17.08,17.08
-6.98,3.84,-0.35,24.08,24.85,24.85
-6.71,3.59,-0.40,28.98,31.29,31.29
-6.56,3.24,-0.19,35.77,36.33,36.33
-6.86,3.08,0.01,41.58,41.58,42.07
-7.10,3.13,0.09,43.75,44.17,44.38
-6.98,3.16,0.00,44.94,44.94,44.80
-6.47,3.22,-0.08,43.89,43.89,43.89
-6.13,3.24,-0.23,40.25,40.25,40.25
-6.36,3.34,-0.38,37.24,36.19,36.19
-7.11,3.53,-0.47,31.08,31.08,31.08
-7.08,3.44,-0.43,27.02,25.76,25.76
-7.50,3.31,-0.40,22.61,20.79,20.79
-7.84,3.15,-0.48,17.15,17.15,17.15
-8.01,3.01,-0.71,12.11,12.11,12.11
-8.26,2.79,-0.77,9.31,8.54,8.54
-8.18,2.43,-1.03,5.88,5.88,5.53
-8.21,2.12,-1.41,2.87,2.87,2.87
-8.23,1.87,-1.53,1.61,1.61,1.61
-8.26,1.71,-1.70,0.28,0.28,0.07
-8.45,1.67,-2.08,-0.49,-0.63,-0.63
-8.58,1.52,-2.57,-1.26,-1.12,-1.12
-8.76,1.39,-2.71,-1.33,-1.33,-1.26
-9.11,1.34,-2.87,-1.19,-1.19,-1.19
-9.94,1.28,-3.10,-0.84,-0.84,-0.84
-10.48,1.01,-2.97,0.00,0.00,0.00
-10.58,0.41,-2.84,2.38,2.38,2.38
-10.95,0.05,-2.91,5.88,5.88,6.44
-10.79,-0.49,-2.92,10.64,11.27,11.27
-10.64,-1.04,-2.70,18.69,19.67,19.67
-10.60,-1.12,-2.64,24.36,24.36,24.92
-10.21,-1.21,-2.64,28.56,29.05,29.05
-10.49,-1.35,-2.56,32.69,32.69,32.97
-10.69,-1.43,-2.48,34.51,34.51,34.86
