aX,aY,aZ,gX,gY,gZ
-5.65,-1.85,-6.88,-3.92,-3.92,-3.36
-5.83,-1.90,-6.97,0.21,0.21,0.21
-6.40,-1.76,-7.07,3.22,3.22,3.22
-6.68,-1.56,-7.13,4.76,4.90,4.90
-7.24,-1.40,-7.32,2.31,2.10,2.10
-6.77,-1.47,-7.07,-1.40,-1.40,-1.40
-6.47,-1.56,-7.04,-1.40,-1.40,-1.40
-6.36,-1.56,-6.98,-0.77,-0.77,-0.63
-6.05,-1.45,-6.79,-0.42,-0.42,-0.42
-6.00,-1.22,-6.90,-3.92,-3.92,-3.92
-6.06,-1.24,-6.94,-5.39,-5.39,-5.88
-6.11,-1.42,-7.02,-7.14,-7.14,-7.14
-6.04,-1.45,-7.32,-10.08,-10.08,-10.08
-6.26,-1.43,-7.51,-11.90,-12.11,-12.11
-6.55,-1.60,-7.81,-12.04,-12.04,-11.55
-6.95,-1.88,-8.07,-8.40,-7.84,-7.84
-7.25,-2.00,-8.12,-3.08,-1.68,-0.91
-7.49,-1.88,-8.18,6.65,6.65,7.14
-7.47,-1.82,-8.05,8.82,8.82,9.10
-7.32,-1.76,-7.77,8.68,8.68,8.33
-6.45,-1.79,-7.68,3.50,3.50,3.22
-6.23,-2.03,-7.58,1.82,1.82,1.82
-5.53,-1.56,-7.17,-3.01,-3.92,-3.92
-5.40,-1.60,-6.84,-7.63,-8.05,-8.05
-5.78,-1.86,-6.54,-7.63,-7.63,-7.35
-5.75,-1.79,-6.56,-2.87,-2.87,-2.87
-5.80,-1.84,-6.65,0.63,0.63,0.63
-5.87,-1.40,-7.17,4.69,4.69,4.41
-6.92,-1.83,-7.19,-7.49,-7.49,-6.65
-7.17,-2.24,-7.27,-2.31,-2.31,-2.31
-7.05,-2.11,-7.47,1.96,1.96,1.96
-6.78,-1.79,-7.66,1.05,1.05,1.05
-7.32,-1.70,-7.75,-0.07,-0.07,-0.07
-7.27,-1.77,-7.84,-3.08,-3.08,-3.08
-7.44,-1.99,-7.67,-3.01,-3.01,-2.73
-7.24,-2.05,-7.60,-0.28,-0.28,-0.07
-6.66,-1.92,-7.52,0.63,0.70,0.70
-6.13,-1.78,-7.20,0.35,0.35,0.35
-5.84,-1.93,-6.93,0.91,0.91,0.91
-5.82,-1.82,-6.75,3.71,3.71,3.71
-5.77,-1.45,-6.68,2.45,1.47,1.47
