aX,aY,aZ,gX,gY,gZ
-6.17,5.92,-0.04,91.70,91.70,91.42
-6.70,6.07,-0.11,87.85,87.85,87.36
-7.07,6.11,-0.23,84.00,84.00,84.00
-7.61,6.03,-0.35,82.11,82.11,81.97
-7.84,6.03,-0.85,83.86,83.86,84.07
-7.44,6.08,-1.26,84.35,84.35,84.56
-7.03,5.97,-1.55,85.33,85.33,85.47
-6.72,5.80,-2.31,90.51,90.51,90.51
-6.89,6.13,-2.80,95.06,95.06,95.06
-7.01,6.27,-2.85,94.78,91.77,91.77
-7.58,6.16,-3.14,47.11,47.11,47.11
-8.83,6.75,-3.36,42.28,42.28,42.28
-9.16,7.01,-3.92,39.62,38.50,38.50
-9.17,7.05,-4.23,32.55,32.55,32.55
-8.75,6.92,-4.34,27.93,27.93,27.93
-8.21,6.63,-4.18,21.28,21.28,21.28
-7.42,6.31,-3.88,13.09,13.09,13.09
-6.56,6.03,-3.69,4.97,4.97,4.97
-5.86,5.75,-3.99,0.42,0.42,0.42
-5.57,5.55,-3.96,1.19,1.19,1.19
-5.53,5.42,-3.79,3.57,3.57,3.57
-5.71,4.88,-3.56,-4.06,-4.06,-4.06
-6.30,5.14,-3.29,5.74,5.74,5.74
-6.56,5.25,-3.38,-0.07,24.92,24.92
-2.90,10.47,-3.16,25.97,25.97,30.17
-6.84,5.91,-4.12,31.92,31.92,31.92
-6.97,6.24,-4.14,29.26,29.26,29.26
-6.17,5.90,-4.33,28.28,28.56,28.56
-6.65,5.97,-4.27,28.56,28.42,28.42
-6.68,6.03,-4.37,27.30,27.30,26.53
-7.44,5.80,-4.33,26.74,26.74,26.74
-6.94,5.71,-5.03,24.64,24.64,24.64
-7.35,4.77,-5.27,29.47,29.47,29.47
-6.39,5.07,-5.64,29.61,29.61,29.61
-6.27,5.18,-5.78,32.69,32.97,32.97
-5.48,5.25,-5.75,34.51,34.58,34.58
-5.57,5.29,-5.90,36.82,36.82,37.03
-5.34,5.37,-5.89,37.52,37.52,37.38
-5.44,5.20,-5.84,36.47,36.47,36.40
-5.64,5.14,-5.89,33.88,33.88,33.67
-5.64,5.17,-6.04,31.92,31.92,31.78
-5.56,5.14,-6.29,31.50,31.57,31.57
-5.36,5.16,-6.59,31.85,31.85,32.06
-5.09,5.14,-6.91,32.97,32.97,33.04
-4.87,4.83,-7.08,33.81,33.81,33.39
-4.94,4.81,-7.27,31.08,31.08,31.08
-4.93,4.83,-7.36,27.86,27.86,27.86
-5.01,4.83,-7.42,22.26,21.63,21.63
-5.09,4.78,-7.47,18.62,18.20,17.22
-5.22,4.56,-7.47,15.47,15.26,15.26
-5.18,4.47,-7.48,13.09,13.09,13.09
-5.09,4.38,-7.62,13.30,13.30,13.93
-4.77,4.35,-8.05,16.03,16.03,16.31
-4.51,4.28,-8.12,17.92,18.06,18.06
-4.44,4.11,-8.14,18.76,18.83,18.83
-4.41,4.07,-8.06,19.18,19.18,19.04
-4.43,4.02,-7.93,18.76,18.76,18.55
-4.36,3.90,-7.74,17.50,17.36,17.36
-4.30,3.84,-7.65,16.59,16.59,16.52
-4.07,3.83,-7.68,15.61,15.61,15.61
-3.91,3.80,-7.66,14.35,14.28,14.28
-3.71,2.46,-7.68,13.86,13.86,13.93
-3.45,3.45,-7.73,14.35,14.56,14.56
-3.34,3.27,-8.04,17.50,17.50,17.92
-3.20,3.15,-8.13,20.09,20.93,21.42
-3.17,3.07,-8.17,24.36,24.36,24.92
-3.17,2.97,-8.29,28.00,28.00,28.63
-3.24,3.00,-8.30,31.36,32.48,33.04
-3.35,3.09,-8.36,36.26,36.26,36.68
-3.51,3.17,-8.36,37.66,37.66,37.80
-3.53,3.24,-8.48,36.75,36.75,36.75
-3.39,3.21,-8.72,34.86,34.86,34.86
-3.17,3.01,-9.08,33.88,33.74,33.74
-2.94,2.87,-9.42,33.18,33.18,32.83
-2.78,2.78,-9.72,31.85,31.85,31.36
-2.85,2.62,-9.80,24.99,24.99,24.99
-2.93,2.56,-9.81,21.70,21.70,21.70
