aX,aY,aZ,gX,gY,gZ
0.30,-9.69,-1.42,0.77,0.77,0.77
0.29,-9.70,-1.44,1.33,1.33,1.54
0.30,-9.72,-1.43,2.52,2.52,2.52
0.29,-9.68,-1.41,1.40,1.40,1.40
0.28,-9.69,-1.45,0.98,0.98,1.33
0.27,-9.69,-1.45,1.75,1.75,1.75
0.24,-9.71,-1.42,2.45,2.59,2.59
0.26,-9.70,-1.43,1.47,1.47,1.47
0.30,-9.71,-1.41,1.75,1.75,1.75
0.28,-9.68,-1.43,2.31,2.31,2.31
0.30,-9.69,-1.41,1.96,1.96,1.96
0.28,-9.69,-1.42,1.61,1.61,1.54
0.28,-9.71,-1.43,1.82,1.68,1.68
0.30,-9.70,-1.44,2.03,1.82,2.10
0.28,-9.71,-1.43,2.17,2.10,2.10
0.30,-9.69,-1.44,1.68,1.68,1.68
0.26,-9.70,-1.44,1.61,1.54,1.54
0.27,-9.69,-1.44,2.03,2.03,2.03
0.28,-9.69,-1.43,2.17,2.17,2.24
0.31,-9.67,-1.43,2.24,2.31,2.31
0.28,-9.69,-1.40,1.68,1.54,1.54
0.26,-9.70,-1.43,1.33,1.33,1.33
0.26,-9.71,-1.45,1.89,1.89,1.96
0.32,-9.68,-1.42,2.80,2.80,2.80
0.30,-9.68,-1.39,2.31,2.31,2.17
0.29,-9.69,-1.40,1.12,1.12,1.12
0.32,-9.71,-1.41,2.66,2.80,2.73
0.29,-9.67,-1.40,2.24,1.89,1.33
0.26,-9.70,-1.41,0.84,0.84,0.84
0.29,-9.70,-1.46,1.61,1.61,1.61
0.31,-9.69,-1.40,2.87,3.08,3.08
0.31,-9.67,-1.41,2.66,2.66,2.66
0.26,-9.70,-1.41,0.98,0.98,0.98
0.30,-9.70,-1.44,0.98,0.98,0.98
0.31,-9.71,-1.44,2.38,2.38,2.87
0.29,-9.68,-1.42,3.01,3.01,2.66
0.30,-9.66,-1.39,1.12,1.12,1.12
0.29,-9.71,-1.41,0.98,0.98,0.98
0.33,-9.71,-1.45,2.17,2.17,2.17
0.28,-9.67,-1.43,2.80,2.80,2.59
0.27,-9.68,-1.41,1.75,1.75,1.68
0.29,-9.71,-1.40,1.05,1.05,0.98
0.31,-9.71,-1.45,2.03,2.03,2.03
0.31,-9.70,-1.46,2.52,2.52,2.52
0.28,-9.69,-1.40,2.03,2.03,2.03
0.29,-9.69,-1.43,1.19,1.19,1.19
0.30,-9.71,-1.44,2.10,2.24,2.24
0.30,-9.69,-1.44,2.38,2.38,2.17
0.31,-9.68,-1.41,1.40,1.40,1.40
0.31,-9.68,-1.43,1.89,1.96,1.96
0.30,-9.71,-1.43,2.10,2.38,2.38
0.30,-9.69,-1.42,2.31,2.24,2.24
0.28,-9.69,-1.41,1.54,1.54,1.47
