aX,aY,aZ,gX,gY,gZ
0.065,4.346,-0.158,121.450,3.780,-19.740
-0.108,0.860,-0.450,121.450,-1.680,9.380
-0.076,0.451,0.196,-33.250,-5.040,-41.300
-0.237,0.604,-0.065,-4.830,2.310,0.070
0.011,1.740,-0.051,91.070,-7.840,-8.890
-0.265,0.638,-0.259,85.260,-10.360,5.040
0.008,1.064,-0.257,63.980,-2.170,0.700
-0.249,1.039,-0.217,7.070,-5.180,-0.560
-0.083,0.884,-0.137,37.660,-2.520,6.230
-0.111,1.045,-0.214,9.520,-0.350,6.440
-0.071,0.966,-0.195,8.960,-3.990,3.150
-0.125,0.990,-0.138,3.990,-6.930,4.690
-0.092,0.979,-0.214,8.820,-4.060,5.530
-0.106,1.017,-0.212,-1.260,-3.500,4.480
-0.110,0.922,-0.178,-8.890,-2.520,2.380
-0.147,1.060,-0.186,-4.270,-0.770,0.350
-0.113,0.967,-0.187,-21.140,-0.140,-2.660
-0.134,0.991,-0.167,-15.540,0.840,-2.870
-0.109,0.985,-0.196,-26.530,1.120,-3.150
-0.127,0.976,-0.178,-23.450,1.540,-2.870
-0.111,0.985,-0.163,-15.190,1.260,-2.310
-0.106,0.983,-0.170,-25.620,-0.420,-5.040
-0.119,1.035,-0.184,-16.940,0.840,-1.960
-0.133,1.040,-0.147,-42.770,2.940,-1.330
-0.108,0.986,-0.161,2.310,-2.100,-0.280
-0.148,1.008,-0.200,-24.080,-3.500,0.980
-0.060,0.997,-0.142,-13.650,0.980,-0.700
-0.104,0.981,-0.147,0.420,0.000,2.590
-0.119,0.981,-0.148,2.940,-0.140,2.800
-0.111,0.994,-0.148,14.280,-1.330,1.190
-0.114,0.971,-0.162,12.740,-3.080,0.000
-0.118,1.041,-0.156,14.280,-0.070,-0.630
-0.102,0.956,-0.165,12.320,-1.820,1.680
-0.110,1.011,-0.163,17.010,-1.400,1.260
-0.110,0.977,-0.158,16.380,-3.290,1.470
-0.122,0.985,-0.146,20.090,-4.480,3.640
-0.107,0.991,-0.133,8.540,-4.900,5.040
-0.082,0.935,-0.197,24.220,-2.240,4.410
-0.125,1.078,-0.203,3.360,-4.550,2.030
-0.124,0.967,-0.149,6.230,-1.750,1.120
-0.117,1.038,-0.181,13.300,-1.540,0.770
-0.107,0.949,-0.172,-12.040,-2.170,1.260
-0.113,0.996,-0.157,7.840,-1.260,-0.420
-0.115,0.972,-0.199,-11.270,-1.820,0.700
-0.125,0.994,-0.155,-3.990,0.210,-0.980
-0.107,0.976,-0.186,-5.950,-0.560,0.140
-0.114,0.991,-0.172,-14.840,0.000,-1.050
-0.112,0.983,-0.157,-6.300,-0.350,0.560
-0.109,1.003,-0.175,-11.200,-0.420,-0.070
-0.104,0.986,-0.151,-9.590,-1.400,0.700
-0.107,1.022,-0.157,-4.130,-1.050,0.770
-0.111,1.005,-0.161,-6.510,-1.330,0.210
-0.103,0.991,-0.144,0.280,-0.840,0.560
-0.103,1.001,-0.161,0.980,-1.540,1.120
-0.114,0.997,-0.157,0.140,-1.190,0.210
-0.114,0.990,-0.157,6.860,-1.190,0.700
-0.115,0.991,-0.162,6.440,-1.540,0.770
